K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
92,PAPUA BARAT,,,,,,,
92.04,KAB. SORONG SELATAN,,,15,2,120,"6.570,231","Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
92.04.01,,,,1Teminabuan,2,14,,
,,,,,,Konda,,"Menjadi wil. Kec. Konda, Perda No. 23/2007"
,,,,,,Seremuk Sayal,,Menjadi Wil Kec Saifi Perda No 23/2007
,,,,,,Manggroholo,,"Menjadi wil. Kec. Saifi, Perda No. 23/2007"
92.04.01.2004,,,,,,1 Wersar,,
92.04.01.1005,,,,,1Kaibus,,,
92.04.01.1006,,,,,2Kohoin,,,
,,,,,,Haha,,"Menjadi wil. Kec. Seremuk, Perda No. 23/2007"
,,,,,,Waigo,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
92.04.01.2009,,,,,,2 Wehali,,
92.04.01.2010,,,,,,3 Aibobor,,
,,,,,,Wamargege,,"Menjadi wil. Kec. Konda, Perda No. 23/2007"
,,,,,,Sisir,,"Menjadi wil. Kec. Saifi, Perda No. 23/2007"
,,,,,,Komanggaret,,"Menjadi wil. Kec. Saifi, Perda No. 23/2007"
,,,,,,Mlaswat,,"Menjadi wil. Kec. Saifi, Perda No. 23/2007"
,,,,,,Bariat,,"Menjadi wil. Kec. Konda, Perda No. 23/2007"
,,,,,,Manelek,,"Menjadi wil. Kec. Konda, Perda No. 23/2007"
92.04.01.2017,,,,,,4 Wermit,,
92.04.01.2018,,,,,,5 Keyen,,
,,,,,,Woloin,,"Menjadi wil. Kec. Seremuk, Perda No. 23/2007"
,,,,,,Tofot,,"Menjadi wil. Kec. Seremuk, Perda No. 23/2007"
92.04.01.2021,,,,,,6 Siribau,,
,,,,,,Sungguer,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
,,,,,,Kwowok,,"Menjadi wil. Kec. Saifi, Perda No. 23/2007"
,,,,,,Bagaraga,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
92.04.01.2025,,,,,,7 Magis,,
92.04.01.2026,,,,,,8 Tegirolo,,
,,,,,,Nagna,,"Menjadi wil. Kec. Konda, Perda No. 23/2007"
,,,,,,Boldon,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
,,,,,,Srer,,"Menjadi wil. Kec. Seremuk, Perda No. 23/2007"
,,,,,,Sesor,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
,,,,,,Wardik,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
,,,,,,Wayer,,"Menjadi wil. Kec. Wayer, Perda No. 23/2007"
,,,,,,Sira,,"Menjadi wil. Kec. Saifi, Perda No. 23/2007"
92.04.01.2034,,,,,,9 Wernas,,
,,,,,,,,
