K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
62.02.11.2004,,,,,,4 Ujung Pandaran,,Semula wil. Kec. Mentaya Hilir Selatan
62.02.11.2005,,,,,,5 Regei Lestari,,Pemekaran desa Basawang Perda No. 17/2010
62.02.11.2006,,,,,,6 Kuin Permai,,Pemekaran desa Lampuyang Perda No. 17/2010
62.02.12,,,,12Seranau,1,5,,Perda No. 10/2003
62.02.12.1001,,,,,1Mentaya Seberang,,,Semula wil. Kec. Mentawa Baru Ketapang
62.02.12.2002,,,,,,1 Terantang,,Semula wil. Kec. Baamang
62.02.12.2003,,,,,,2 Batuah,,Semula wil. Kec. Baamang
62.02.12.2004,,,,,,3 Terantang Hilir,,Semula wil. Kec. Baamang
62.02.12.2005,,,,,,4 Ganepo,,Perda No. 39/2006
62.02.12.2006,,,,,,5 Seragam Jaya,,Perda No. 6/2011
62.02.13,,,,13Cempaga Hulu,-,11,,Perda No. 10/2003
62.02.13.2001,,,,,,1 Pundu,,Semula wil. Kec. Cempaga
62.02.13.2002,,,,,,2 Keruing,,Semula wil. Kec. Cempaga
62.02.13.2003,,,,,,3 Parit,,Semula wil. Kec. Cempaga
62.02.13.2004,,,,,,4 Pantai Harapan,,Semula wil. Kec. Cempaga
62.02.13.2005,,,,,,5 Pelantaran,,Semula wil. Kec. Cempaga
62.02.13.2006,,,,,,6 Tumbang Koling,,Semula wil. Kec. Cempaga
62.02.13.2007,,,,,,7 Sudan,,Perda No. 39/2006
62.02.13.2008,,,,,,8 Bukit Batu,,Perda No. 39/2006
62.02.13.2009,,,,,,9 Bukit Raya,,Perda No. 39/2006
62.02.13.2010,,,,,,10 Selucing,,Perda No. 11/2008
62.02.13.2011,,,,,,11 Sungai Ubar Mandiiri,,Perda No. 12/2008
62.02.14,,,,14Telawang,-,6,,Perda No. 37/2006
62.02.14.2001,,,,,,1 Sebabi,,Semula wil. Kec. Kota Besi
62.02.14.2002,,,,,,2 Tanah Putih,,Semula wil. Kec. Kota Besi
62.02.14.2003,,,,,,3 Sumber Makmur,,Semula wil. Kec. Kota Besi
62.02.14.2004,,,,,,4 Kenyala,,Semula wil. Kec. Kota Besi
62.02.14.2005,,,,,,5 Penyang,,Perda No. 39/2006
62.02.14.2006,,,,,,6 Biru Maju,,Perda No. 39/2006
62.02.15,,,,15Bukit Santuai,-,14,,Perda No. 37/2006
62.02.15.2001,,,,,,1 Tumbang Tilap,,Semula wil. Kec. Mentaya Hulu
62.02.15.2002,,,,,,2 Tumbang Kaminting,,Semula wil. Kec. Mentaya Hulu
62.02.15.2003,,,,,,3 Tanah Haluan,,Semula wil. Kec. Mentaya Hulu
62.02.15.2004,,,,,,4 Tumbang Panyahuan,,"Semula wil. Kec. Mentaya Hulu, Koreksi nama 'Tumbang Penyahuan'
Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli 2019"
62.02.15.2005,,,,,,5 Tumbang Sapia,,Semula wil. Kec. Mentaya Hulu
62.02.15.2006,,,,,,6 Tumbang Getas,,Semula wil. Kec. Mentaya Hulu
62.02.15.2007,,,,,,7 Tewai Hara,,"Semula wil. Kec.Mentaya Hulu,Perda No.37/2006, Perbaikan nama
sesuai Rakernis Ditjen BPD tgl 1 April 2016, Perbaikan nama sesuai
Surat Pemprov Kalteng 411.1/369/Dis-PMD/IV/2017 dan Rekomedasi
Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
