NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,74.06.13,13 Kabaena Selatan,,,,,,4,,,
,74.06.14,14 Kabaena Barat,,,,,1,4,,,
,74.06.15,15 Kabaena Utara,,,,,,6,,,
,74.06.16,16 Kabaena Tengah,,,,,,7,,,
,74.06.17,17 Kep. Masaloka Raya,,,,,,5,,,
,74.06.18,18 Rumbia Tengah,,,,,3,2,,,
,74.06.19,19 Poleang Tengah,,,,,,4,,,
,74.06.20,20 Tontonunu,,,,,,5,,,
,74.06.21,21 Lantari Jaya,,,,,,9,,,
,74.06.22,22 Mata Usu,,,,,,5,,,
,74.07,7 KAB. WAKATOBI,Wangi Wangi,,,8,26,75,450,115.717,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)."
,74.07.01,1 Wangi-Wangi,,,,,6,14,,,
,74.07.02,2 Kaledupa,,,,,4,12,,,
,74.07.03,3 Tomia,,,,,2,8,,,
,74.07.04,4 Binongko,,,,,4,5,,,
,74.07.05,5 Wangi Wangi Selatan,,,,,3,18,,,
,74.07.06,6 Kaledupa Selatan,,,,,,10,,,Perda No. 19/2005
,74.07.07,7 Tomia Timur,,,,,5,5,,,Perda No. 20/2005
,74.07.08,8 Togo Binongko,,,,,2,3,,,Perda No. 41/2007
,74.08,8 KAB. KOLAKA UTARA,Lasusua,,,15,6,127,2.932,135.928,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,74.08.01,1 Lasusua,,,,,1,11,,,
,74.08.02,2 Pakue,,,,,1,10,,,
,74.08.03,3 Batu Putih,,,,,1,10,,,
,74.08.04,4 Rante Angin,,,,,1,6,,,
,74.08.05,5 Kodeoha,,,,,1,11,,,
,74.08.06,6 Ngapa,,,,,1,11,,,
,74.08.07,7 Wawo,,,,,,7,,,Perda No.6/2006
,74.08.08,8 Lambai,,,,,,7,,,Perda No.6/2006
,74.08.09,9 Watunohu,,,,,,8,,,Perda No.6/2006
,74.08.10,10 Pakue Tengah,,,,,,10,,,Perda No.6/2006
,74.08.11,11 Pakue Utara,,,,,,9,,,Perda No.6/2006
,74.08.12,12 Porehu,,,,,,8,,,Perda No.6/2006
