K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53.21.09.2002,,,,,,2 Wemeda,,
53.21.09.2003,,,,,,3 Kusa,,
53.21.09.2004,,,,,,4 Numponi,,
53.21.09.2005,,,,,,5 Dirma,,
53.21.09.2006,,,,,,6 Sanleo,,
53.21.10,,,,10Kobalima Timur,-,4,,Semula wil. Kab. Belu UU. No. 3/2013
53.21.10.2001,,,,,,1 Alas Utara,,Semula wil. Kec. Kobalima
53.21.10.2002,,,,,,2 Kotabiru,,Semula wil. Kec. Kobalima
53.21.10.2003,,,,,,3 Alas,,Semula wil. Kec. Kobalima
53.21.10.2004,,,,,,4 Alas Selatan,,Semula wil. Kec. Kobalima
53.21.11,,,,11Kobalima,-,8,,Semula wil. Kab. Belu UU. No. 3/2013
53.21.11.2001,,,,,,1 Babulu,,
53.21.11.2002,,,,,,2 Babulu Selatan,,
53.21.11.2003,,,,,,3 Sisi,,
53.21.11.2004,,,,,,4 Rainawe,,
53.21.11.2005,,,,,,5 Litamali,,
53.21.11.2006,,,,,,6 Lakekun Utara,,
53.21.11.2007,,,,,,7 Lakekun,,
53.21.11.2008,,,,,,8 Lakekun Barat,,
53.21.12,,,,12Botin Leobele,-,5,,Semula wil. Kab. Belu UU. No. 3/2013
53.21.12.2001,,,,,,1 Babotin,,Semula wil. Kec. Sasitamean
53.21.12.2002,,,,,,2 Kereana,,Semula wil. Kec. Sasitamean
53.21.12.2003,,,,,,3 Babotin Maemina,,Semula wil. Kec. Sasitamean
53.21.12.2004,,,,,,4 Babotin Selatan,,Semula wil. Kec. Sasitamean
53.21.12.2005,,,,,,5 Takarai,,Semula wil. Kec. Sasitamean
