K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.04.02.2007,,,,,,4 Rantau Panjang,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.02.2008,,,,,,5 Sungairukam,,
14.04.02.2009,,,,,,6 Bagan Jaya,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.02.2010,,,,,,7 Suhada,,
14.04.02.2011,,,,,,8 Jaya Bhakti,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.02.2012,,,,,,9 Sungailokan,,
14.04.02.1013,,,,,"4Pantaiseberang
Makmur",,,"Pemekaran sebagian Kel. Elok, Perda No. 5/2011"
14.04.02.2014,,,,,,"10 Simpang Tiga
Daratan",,"Pemekaran sebagian Desa Simpang Tiga, Perda No.6/2011, Perbaikan
nama sesuai Validasi Ditjen BPD tgl 23 Juni 2016, Perbaikan nama hasil
validasi data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina
Pemdes No.146/3672/BPD tgl 21 Juni 2017"
14.04.03,,,,3Kuala Indragiri,1,7,,
14.04.03.2001,,,,,,1 Sungaibuluh,,
14.04.03.2002,,,,,,2 Tanjunglajau,,
14.04.03.2003,,,,,,3 Sungaibela,,
,,,,,,Concong Luar,,"Menjadi wil. Kec. Concong, Perda No. 16 / 2005"
,,,,,,Concong Dalam,,"Menjadi wil. Kec. Concong, Perda No. 16 / 2005"
14.04.03.2006,,,,,,4 Telukdalam,,
14.04.03.1007,,,,,1Sapat,,,
14.04.03.2008,,,,,,5 Sungaipiyai,,
14.04.03.2009,,,,,,6 Perigi Raja,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.03.2010,,,,,,7 Tanjungmelayu,,
,,,,,,Concong Tengah,,"Menjadi wil. Kec. Concong, Perda No. 16 / 2005"
,,,,,,Kampung Baru,,"Menjadi wil. Kec. Concong, Perda No. 16 / 2005"
,,,,,,Panglima Raja,,"Menjadi wil. Kec. Concong, Perda No. 16 / 2005"
,,,,,,Sungai Berapit,,"Menjadi wil. Kec. Concong, Perda No. 16 / 2005"
14.04.04,,,,4Tembilahan,8,-,,
14.04.04.1001,,,,,1Tembilahan Kota,,,
14.04.04.1002,,,,,2Tembilahan Hilir,,,
14.04.04.1003,,,,,3Seberang Tembilahan,,,
14.04.04.1004,,,,,4Sungaiperak,,,
,,,,,,,,
