NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XI,31,DKI JAKARTA,,1,5,44,267,,661,11.249.585,
,31.01,1 KAB. ADM. KEP. SERIBU,P. Seribu,,,2,6,0,11,29.719,"UU No. 29/2007
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas dengan kab/kota lainnya)."
,31.01.01,1 Kepulauan Seribu Utara,,,,,3,,,,
,31.01.02,2 Kepulauan Seribu Selatan.,,,,,3,,,,
,31.71,2 KOTA ADM. JAKARTA PUSAT,Tanah Abang,,,8,44,0,48,1.105.731,"UU No. 29/2007
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,31.71.01,1 Gambir,,,,,6,,,,
,31.71.02,2 Sawah Besar,,,,,5,,,,
,31.71.03,3 Kemayoran,,,,,8,,,,
,31.71.04,4 Senen,,,,,6,,,,
,31.71.05,5 Cempaka Putih,,,,,3,,,,
,31.71.06,6 Menteng,,,,,5,,,,
,31.71.07,7 Tanah Abang,,,,,7,,,,
,31.71.08,8 Johar Baru,,,,,4,,,,
,31.72,3 KOTA ADM. JAKARTA UTARA,Tanjung Priok,,,6,31,0,147,1.865.647,"UU No. 29/2007
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,31.72.01,1 Penjaringan,,,,,5,,,,
,31.72.02,2 Tanjung Priok,,,,,7,,,,
,31.72.03,3 Koja,,,,,6,,,,
,31.72.04,4 Cilincing,,,,,7,,,,
,31.72.05,5 Pademangan,,,,,3,,,,
,31.72.06,6 Kelapa Gading,,,,,3,,,,
,31.73,4 KOTA ADM. JAKARTA BARAT,Grogol Petamburan,,,8,56,0,125,2.589.589,"UU No. 29/2007
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,31.73.01,1 Cengkareng,,,,,6,,,,
,31.73.02,2 Grogol Petamburan,,,,,7,,,,
,31.73.03,3 Taman Sari,,,,,8,,,,
,31.73.04,4 Tambora,,,,,11,,,,
