K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
36.04.15.2002,,,,,,2 Leuwi Limus,,
36.04.15.2003,,,,,,3 Nambo Udik,,
36.04.15.2004,,,,,,4 Parigi,,
36.04.15.2005,,,,,,5 Koper,,
36.04.15.2006,,,,,,6 Bakung,,
36.04.15.2007,,,,,,7 Julang,,
36.04.15.2008,,,,,,8 Sukatani,,
36.04.15.2009,,,,,,9 Situterate,,
36.04.15.2010,,,,,,10 Kamurang,,
36.04.15.2011,,,,,,11 Gembor Udik,,
36.04.15.2012,,,,,,12 Songgom Jaya,,"1. Perda Kab. Serang No. 22/2011
2. Perda Kab. Serang No. 8/2012"
36.04.15.2013,,,,,,13 Cikande Permai,,Pemekaran desa Situ Terate Perda No. 834/2012
36.04.16,,,,11Kibin,-,9,,
36.04.16.2001,,,,,,1 Kibin,,
36.04.16.2002,,,,,,2 Ketos,,
36.04.16.2003,,,,,,3 Cijeruk,,
36.04.16.2004,,,,,,4 Nagara,,
36.04.16.2005,,,,,,5 Nambo Ilir,,
36.04.16.2006,,,,,,6 Barengkok,,
36.04.16.2007,,,,,,7 Sukamaju,,
36.04.16.2008,,,,,,8 Tambak,,
36.04.16.2009,,,,,,9 Ciagel,,
36.04.17,,,,12Carenang,-,8,,
36.04.17.2001,,,,,,1 Carenang,,
36.04.17.2002,,,,,,2 Pamanuk,,
36.04.17.2003,,,,,,3 Mandaya,,
36.04.17.2004,,,,,,4 Teras,,
,,,,,,Purwadadi,,Menjadi wil Kec. Lebak Wangi Perda No. 7/2012
36.04.17.2006,,,,,,5 Ragas Masigit,,"1. Perda Kab. Serang No. 22/2011
2. Perda Kab. Serang No. 8/2012"
36.04.17.2007,,,,,,6 Walikukun,,
,,,,,,Bolang,,Menjadi wil Kec. Lebak Wangi Perda No. 7/2012
36.04.17.2009,,,,,,7 Panenjoan,,
36.04.17.2010,,,,,,8 Mekarsari,,
36.04.18,,,,13Binuang,-,7,,
36.04.18.2001,,,,,,1 Binuang,,
36.04.18.2002,,,,,,2 Cakung,,
36.04.18.2003,,,,,,3 Renged,,
36.04.18.2004,,,,,,4 Gembor,,
,,,,,,,,
