NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,16.07.21,21 Selat Penuguan,,,,,,12,,,"Pemekaran sebagian wil Kec. Pulau Rimau, sesuai Perda No. 15/2017
ttg Perubahan atas Perda No. 5/2016 ttg Pembentukan Kec dlm
Kab.Banyuasin, Surat Gub No. 130/2259/I/2018 tgl 26 Okt 2018,
Rekomendasi Dit.Dekon No. 1135/TU/DK/SDV/2018 tgl 27 Nov 2018"
,16.08,"8 KAB. OGAN KOMERING ULU
TIMUR",Martapura,,,20,7,305,3.413,667.141,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,16.08.01,1 Martapura,,,,,7,9,,,
,16.08.02,2 Buay Madang,,,,,,17,,,
,16.08.03,3 Belitang,,,,,,23,,,
,16.08.04,4 Cempaka,,,,,,13,,,
,16.08.05,5 Buay Pemuka Peliung,,,,,,13,,,
,16.08.06,6 Madang Suku II,,,,,,19,,,
,16.08.07,7 Madang Suku I,,,,,,13,,,
,16.08.08,8 Semendawai Suku III,,,,,,19,,,
,16.08.09,9 Belitang II,,,,,,24,,,
,16.08.10,10 Belitang III,,,,,,20,,,
,16.08.11,11 Bunga Mayang,,,,,,8,,,Perda No.12 / 2006
,16.08.12,12 Buay Madang Timur,,,,,,30,,,Perda No. 13 / 2006
,16.08.13,13 Madang Suku III,,,,,,10,,,Perda No.14 / 2006
,16.08.14,14 Semendawai Barat,,,,,,12,,,Perda No. 15 / 2006
,16.08.15,15 Semendawai Timur,,,,,,19,,,Perda No. 16 / 2006
,16.08.16,16 Jayapura,,,,,,8,,,Perda No. 20 / 2006
,16.08.17,17 Belitang Jaya,,,,,,13,,,Perda No. 14 / 2007
,16.08.18,18 Belitang Madang Raya,,,,,,16,,,Perda No. 15 / 2007
,16.08.19,19 Belitang Mulya,,,,,,12,,,Perda No. 16 / 2007
,16.08.20,20 Buay Pemuka Bangsa Raja,,,,,,7,,,Perda No. 17 / 2007
,16.09,"9 KAB. OGAN KOMERING ULU
SELATAN",Muaradua,,,19,7,252,4.369,417.871,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,16.09.01,1 Muara Dua,,,,,5,9,,,
,16.09.02,2 Pulau Beringin,,,,,,13,,,
,16.09.03,3 Banding Agung,,,,,1,21,,,
,16.09.04,4 Muara Dua Kisam,,,,,,18,,,
,16.09.05,5 Simpang,,,,,,7,,,
,16.09.06,6 Buay Sandang Aji,,,,,,16,,,
,16.09.07,7 Buay Runjung,,,,,,14,,,
,16.09.08,8 Mekakau Ilir,,,,,,15,,,
