NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,,Paniai Timur,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Pugo Dagi,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Siriwo,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Teluk Deya,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Tigi,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Topiyai,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Dumadama,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Ekadide,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Kebo,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Muye,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Nakama,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Paniai Barat,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Aweida,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Baya Biru,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Bibida,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Bogabaida,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Deiyai Miyo,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Dogomo,,,,,,,,,Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
