K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Panjerejo,,
,,,,,,Bulokarto,,
,,,,,,Wates,,
,,,,,,Tambahrejo,,
,,,,,,Wonodadi,,
,,,,,,Gading Rejo,,
,,,,,,Tegal Sari,,
,,,,,,Tulung Agung,,
,,,,,,Bulurejo,,
,,,,,,Yogyakarta,,
,,,,,,Kediri,,
,,,,,,Mataram,,
,,,,,,Wonosari,,Perda No. 11/2005
18.06.11,,,,6Pugung,-,27,,
18.06.11.2001,,,,,,1 Rantau Tijang,,
18.06.11.2002,,,,,,2 Tiuh Memon,,
18.06.11.2003,,,,,,3 Banjar Agung Udik,,
18.06.11.2004,,,,,,4 Tanjung Heran,,
18.06.11.2005,,,,,,5 Sumanda,,
18.06.11.2006,,,,,,"6 Campang Way
Handak",,"Koreksi nama, Perbaikan Nama sesuai Surat Pemprov Lampung No.
140/181/02/2016 Hal: Data Nama dan Kodefikasi Desa tgl 28 Juni 2016"
18.06.11.2007,,,,,,7 Taman Sari,,
18.06.11.2008,,,,,,8 Sukajadi,,
18.06.11.2009,,,,,,9 Binjai Wangi,,
18.06.11.2010,,,,,,10 Tanjung Kemala,,
18.06.11.2011,,,,,,11 Tanjung Agung,,
18.06.11.2012,,,,,,12 Babakan,,
18.06.11.2013,,,,,,13 Negeri Ratu,,
18.06.11.2014,,,,,,14 Sinar Agung,,
18.06.11.2015,,,,,,15 Tangkit Serdang,,
18.06.11.2016,,,,,,16 Gunung Kasih,,
18.06.11.2017,,,,,,17 Way Jaha,,
18.06.11.2018,,,,,,18 Banjar Agung Ilir,,
18.06.11.2019,,,,,,19 Gading,,
18.06.11.2020,,,,,,20 Way Pring,,"Perda No. 11/2005.
Perbaikan nama desa semula Way Piring menjadi Way Pring, sesuai:
Perda No. 11 Tahun 2005; dan
Surat Dirjen Bina Pemdes No. 145/3452/BPD tgl 6 Juli 2022."
18.06.11.2021,,,,,,21 Pungkut,,Perda No. 11/2005
18.06.11.2022,,,,,,22 Gunung Tiga,,Perda No. 11/2006
18.06.11.2023,,,,,,23 Way Manak,,Perda No. 11/2006
,,,,,,,,
