NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,73.12.08,8 Citta,,,,,,4,,,
,73.13,13 KAB. WAJO,Sengkang,,,14,48,142,2.609,400.118,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.13.01,1 Sabangparu,,,,,3,12,,,
,73.13.02,2 Pammana,,,,,2,14,,,
,73.13.03,3 Takkalalla,,,,,2,11,,,
,73.13.04,4 Sajoanging,,,,,3,6,,,
,73.13.05,5 Majauleng,,,,,4,14,,,
,73.13.06,6 Tempe,,,,,16,,,,
,73.13.07,7 Belawa,,,,,3,6,,,
,73.13.08,8 Tanasitolo,,,,,4,15,,,
,73.13.09,9 Maniangpajo,,,,,3,5,,,
,73.13.10,10 Pitumpanua,,,,,4,23,,,
,73.13.11,11 Bola,,,,,1,10,,,
,73.13.12,12 Penrang,,,,,1,9,,,
,73.13.13,13 Gilireng,,,,,1,8,,,
,73.13.14,14 Keera,,,,,1,9,,,
,73.14,14 KAB. SIDENRENG RAPPANG,Sidenreng,,,11,38,68,1.832,321.419,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.14.01,1 Panca Lautang,,,,,3,7,,,"Perbaikan nama dari Panca Lautan menjadi Panca Lautang sesuai perda
No 15 Tahun 2016 dan surat sekda pemprov sulsel no
146.3/0689/B.Pemerintahan tgl 21 Januari 2021"
,73.14.02,2 Tellu Limpoe,,,,,6,3,,,
,73.14.03,3 Watang Pulu,,,,,5,5,,,
,73.14.04,4 Baranti,,,,,5,4,,,
,73.14.05,5 Panca Rijang,,,,,4,4,,,
,73.14.06,6 Kulo,,,,,,6,,,
,73.14.07,7 Maritengngae,,,,,7,5,,,
,73.14.08,8 Watang Sidenreng,,,,,3,5,,,"Perbaikan nama dari WT. Sidenreng menjadi Watang Sidenreng sesuai
perda No 15 Tahun 2016 dan surat sekda pemprov sulsel no
146.3/0689/B.Pemerintahan tgl 21 Januari 2021"
,73.14.09,9 Dua Pitue,,,,,2,8,,,
,73.14.10,10 Pitu Riawa,,,,,2,10,,,
,73.14.11,11 Pitu Riase,,,,,1,11,,,perbaikan nama dari Pitu Raise menjadi Pitu Riase sesuai perda No 15
