NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,13.12.11,11 Sasak Ranah Pasisie,,,,,,4,,,"perbaikan nama dari Sasak Ranah Pesisir menjadi Sasak Ranah
Pasisie,surat Gubernur Sumatera Barat No 120/223/PEM-2021 tgl 19
April 2021,surat Bupati Pasaman No 130/133/PEM 2021 tgl 31 Maret
2021,Perda Kab Pasaman Barat No 21 Tahun 2016"
,13.71,13 KOTA PADANG,Kototangah,,,11,104,0,694,919.660,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.71.01,1 Padang Selatan,,,,,12,,,,Perda No. 16/2004
,13.71.02,2 Padang Timur,,,,,10,,,,Perda No. 16/2004
,13.71.03,3 Padang Barat,,,,,10,,,,Perda No. 16/2004
,13.71.04,4 Padang Utara,,,,,7,,,,Perda No. 16/2004
,13.71.05,5 Bungus Teluk Kabung,,,,,6,,,,Perda No. 16/2004
,13.71.06,6 Lubuk Begalung,,,,,15,,,,Perda No. 16/2004
,13.71.07,7 Lubuk Kilangan,,,,,7,,,,Perda No. 16/2004
,13.71.08,8 Pauh,,,,,9,,,,Perda No. 16/2004
,13.71.09,9 Kuranji,,,,,9,,,,Perda No. 16/2004
,13.71.10,10 Nanggalo,,,,,6,,,,Perda No. 16/2004
,13.71.11,11 Koto Tangah,,,,,13,,,,Perda No. 16/2004
,13.72,14 KOTA SOLOK,Solok,,,2,13,0,59,77.535,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.72.01,1 Lubuk Sikarah,,,,,7,,,,
,13.72.02,2 Tanjung Harapan,,,,,6,,,,
,13.73,15 KOTA SAWAHLUNTO,Sawahlunto,,,4,10,27,232,67.344,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.73.01,1 Lembah Segar,,,,,6,5,,,
,13.73.02,2 Barangin,,,,,4,6,,,
,13.73.03,3 Silungkang,,,,,,5,,,
,13.73.04,4 Talawi,,,,,,11,,,
,13.74,16 KOTA PADANG PANJANG,Padang Panjang,,,2,16,0,24,60.449,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.74.01,1 Padang Panjang Timur,,,,,8,,,,
,13.74.02,2 Padang Panjang Barat,,,,,8,,,,
,13.75,17 KOTA BUKITTINGGI,Bukittinggi,,,3,24,0,24,131.817,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.75.01,1 Guguak Panjang,,,,,7,,,,
