K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.11.02.2005,,,,,,5 Pegagan Julu VI,,"Perbaikan nama desa semula Pagagan Julu VI menjadi Desa Pegagan
Julu VI, sesuai:
Perda No. 1 Tahun 2015;
UU No. 15 Tahun 1964; dan
Surat Sekda Kab. Dairi No. 470/2300 tgl 29 Maret 2022."
12.11.02.2006,,,,,,6 Pegagan Julu V,,"Perbaikan nama desa semula Pagagan Julu V menjadi Pegagan Julu V,
sesuai:
Perda No. 1 Tahun 2015;
UU No. 15 Tahun 1964; dan
Surat Sekda Kab. Dairi No. 470/2300 tgl 29 Maret 2022."
12.11.02.1007,,,,,1Pegagan Julu I,,,"Perbaikan nama kelurahan semula Pagagan Julu I menjadi Pegagan
Julu I, sesuai:
Perda No. 1 Tahun 2015;
UU No. 15 Tahun 1964; dan
Surat Sekda Kab. Dairi No. 470/2300 tgl 29 Maret 2022."
12.11.02.2008,,,,,,7 Pegagan Julu IV,,"Perbaikan nama desa semula Pagagan Julu IV menjadi Pegagan Julu
IV, sesuai:
Perda No. 1 Tahun 2015;
UU No. 15 Tahun 1964; dan
Surat Sekda Kab. Dairi No. 470/2300 tgl 29 Maret 2022."
12.11.02.2009,,,,,,8 Pegagan Julu III,,"Perbaikan nama desa semula Pagagan Julu III menjadi Pegagan Julu III,
sesuai:
Perda No. 1 Tahun 2015;
UU No. 15 Tahun 1964; dan
Surat Sekda Kab. Dairi No. 470/2300 tgl 29 Maret 2022."
12.11.02.2010,,,,,,9 Pegagan Julu II,,"Perbaikan nama desa semula Pagagan Julu II menjadi Pegagan Julu II,
sesuai:
Perda No. 1 Tahun 2015;
UU No. 15 Tahun 1964; dan
Surat Sekda Kab. Dairi No. 470/2300 tgl 29 Maret 2022."
,,,,,,Silalahi II,,"Menjadi wil. Kec. Silahisabungan, Perda No. 6/2004"
,,,,,,Silalahi I,,"Menjadi wil. Kec. Silahisabungan, Perda No. 6/2004"
,,,,,,Paropo,,"Menjadi wil. Kec. Silahisabungan, Perda No. 6/2004"
12.11.02.2014,,,,,,10 Tanjung Beringin,,
12.11.02.2015,,,,,,11 Dolok Tolong,,
,,,,,,Bukit Lau Kersik,,Menjadi wil Kec. Tiga Lingga
12.11.02.2017,,,,,,12 Pargambiran,,
12.11.02.2018,,,,,,13 Perjuangan,,
,,,,,,Rante Besi,,Menjadi wil Kec. Tiga Lingga
12.11.02.2020,,,,,,14 Kuta Gugung,,
,,,,,,Kendit Liang,,Menjadi wil Kec. Gunung Sitember
,,,,,,Lau Lebah,,Menjadi wil Kec. Gunung Sitember
,,,,,,Tupak Raja,,Menjadi wil Kec. Gunung Sitember
12.11.02.2024,,,,,,"15 Sileuh-leuh
Parsaoran",,Pemekaran Desa sesuai Perda No. 1/2015
12.11.02.2025,,,,,,16 Barisan Nauli,,Pemekaran Desa sesuai Perda No. 1/2015
,,,,,,,,
