Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
65.01.40075,Pulau Salenketo Kecil,,"02°54'30.44"" U 117°31'46.53"" T",TBP
65.01.40076,Pulau Sarilaki,,"03°14'35.58"" U 117°15'07.63"" T",TBP
65.01.40077,Pulau Sarilaki Lumot,,"03°14'21.36"" U 117°15'52.84"" T",TBP
65.01.40078,Pulau Sawang Lemangu Bibil,,"03°05'33.74"" U 117°29'23.71"" T",TBP
65.01.40079,Pulau Sawang Lemangu Tanga,,"03°06'16.24"" U 117°30'05.76"" T",TBP
65.01.40080,Pulau Sebudak,,"02°53'10.06"" U 117°25'36.38"" T",BP
65.01.40081,Pulau Sebudak Panjang,,"02°56'17.68"" U 117°26'28.82"" T",TBP
65.01.40082,Pulau Sebudak Pendek,,"02°55'17.19"" U 117°25'50.59"" T",TBP
65.01.40083,Pulau Segarat,,"02°58'57.37"" U 117°21'31.58"" T",TBP
65.01.40084,Pulau Segaratmuara,,"02°59'32.27"" U 117°22'25.24"" T",TBP
65.01.40085,Pulau Sekatakbengara,,"03°11'02.13"" U 117°13'45.17"" T",TBP
65.01.40086,Pulau Selayu,,"03°04'13.63"" U 117°34'53.45"" T",TBP
65.01.40087,Pulau Selor,,"02°50'24.00"" U 117°24'36.00"" T",BP
65.01.40088,Pulau Serepingka,,"03°00'08.53"" U 117°30'21.87"" T",TBP
65.01.40089,Pulau Sianjung,,"03°19'05.74"" U 117°23'45.64"" T",TBP
65.01.40090,Pulau Sikang,,"03°14'51.31"" U 117°22'37.72"" T",BP
65.01.40091,Pulau Siontai,,"02°54'56.99"" U 117°33'58.00"" T",TBP
65.01.40092,Pulau Srepingka,,"02°59'23.60"" U 117°28'26.89"" T",
65.01.40093,Pulau Tampin,,"03°04'17.00"" U 117°29'28.00"" T",BP
65.01.40094,Pulau Tampin Buat,,"03°03'49.00"" U 117°28'27.00"" T",TBP
65.01.40095,Pulau Tanao Besar,,"03°04'12.00"" U 117°22'48.00"" T",TBP
65.01.40096,Pulau Tanao Kecil,,"03°01'06.12"" U 117°22'35.74"" T",TBP
65.01.40097,Pulau Tembakau Besar,,"03°05'58.15"" U 117°32'45.20"" T",TBP
65.01.40098,Pulau Tembakau Hilir,,"03°06'02.02"" U 117°31'33.43"" T",TBP
65.01.40099,Pulau Tembakau Kecil,,"03°06'04.12"" U 117°33'29.81"" T",TBP
65.01.40100,Pulau Tembakau Pising,,"03°04'29.23"" U 117°32'19.21"" T",BP
65.01.40101,Pulau Temenggah,,"02°55'13.81"" U 117°36'02.88"" T",TBP
65.01.40102,Pulau Tengkado,,"03°04'07.78"" U 117°26'35.92"" T",TBP
65.01.40103,Pulau Tentaduk,,"03°05'25.18"" U 117°30'14.04"" T",TBP
65.01.40104,Pulau Teribi,,"03°06'25.53"" U 117°29'07.06"" T",TBP
65.01.40105,Pulau Tibi Barat,,"03°31'48.00"" U 117°28'12.00"" T",TBP
65.01.40106,Pulau Tibi Lumot,,"03°31'01.43"" U 117°33'10.56"" T",TBP
65.01.40107,Pulau Tibi Selatan,,"03°28'56.55"" U 117°33'24.12"" T",TBP
65.01.40108,Pulau Tibi Timur,,"03°30'00.00"" U 117°34'48.00"" T",TBP
65.01.40109,Pulau Tibi Utara,,"03°31'35.24"" U 117°31'42.70"" T",TBP
65.01.40110,Pulau Titus Dua,,"03°34'43.34"" U 117°28'36.53"" T",TBP
65.01.40111,Pulau Titus Hulu,,"02°55'22.62"" U 117°29'34.91"" T",TBP
65.01.40112,Pulau Titus Kecil,,"02°55'09.55"" U 117°30'19.77"" T",TBP
65.01.40113,Pulau Titus Satu,,"02°55'48.00"" U 117°30'36.00"" T",TBP
65.01.40114,Pulau Tokong,,"02°48'32.97"" U 117°38'22.48"" T",TBP
