NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,71.09.01,1 Siau Timur,,,,,5,11,,,Semula wil. Kab. Kep. Sangihe
,71.09.02,2 Siau Barat,,,,,3,9,,,Semula wil. Kab. Kep. Sangihe
,71.09.03,3 Tagulandang,,,,,2,13,,,Semula wil. Kab. Kep. Sangihe
,71.09.04,4 Siau Timur Selatan,,,,,,14,,,Semula wil. Kab. Kep. Sangihe
,71.09.05,5 Siau Barat Selatan,,,,,,7,,,Semula wil. Kab. Kep. Sangihe
,71.09.06,6 Tagulandang Utara,,,,,,6,,,Semula wil. Kab. Kep. Sangihe
,71.09.07,7 Biaro,,,,,,5,,,Semula wil. Kab. Kep. Sangihe
,71.09.08,8 Siau Barat Utara,,,,,,8,,,Semula wil. Kab. Kep. Sangihe
,71.09.09,9 Siau Tengah,,,,,,4,,,Semula wil. Kab. Kep. Sangihe
,71.09.10,10 Tagulandang Selatan,,,,,,6,,,Semula wil. Kab. Kep. Sangihe
,71.10,"10 KAB. BOLAANG
MONGONDOW TIMUR",Tutuyan,,,7,0,81,860,89.272,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.10.01,1 Tutuyan,,,,,,10,,,Semula wil. Kab. Bolaang Mongondow
,71.10.02,2 Kotabunan,,,,,,15,,,Semula wil. Kab. Bolaang Mongondow
,71.10.03,3 Nuangan,,,,,,11,,,Semula wil. Kab. Bolaang Mongondow
,71.10.04,4 Modayag,,,,,,14,,,Semula wil. Kab. Bolaang Mongondow
,71.10.05,5 Modayag Barat,,,,,,10,,,Semula wil. Kab. Bolaang Mongondow
,71.10.06,6 Motongkad,,,,,,11,,,Perda No 6/2016
,71.10.07,7 Mooat,,,,,,10,,,Perda No 7/2016
,71.11,"11 KAB. BOLAANG
MONGONDOW SELATAN",Bolaang Uki,,,7,0,81,1.796,72.284,"Luas Wilayah Indikatif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.11.01,1 Bolaang Uki,,,,,,17,,,Semula wil. Kab. Bolaang Mongondow
,71.11.02,2 Posigadan,,,,,,16,,,Semula wil. Kab. Bolaang Mongondow
,71.11.03,3 Pinolosian,,,,,,10,,,Semula wil. Kab. Bolaang Mongondow
,71.11.04,4 Pinolosian Tengah,,,,,,8,,,Semula wil. Kab. Bolaang Mongondow
,71.11.05,5 Pinolosian Timur,,,,,,12,,,Semula wil. Kab. Bolaang Mongondow
,71.11.06,6 Helumo,,,,,,11,,,"Pemekaran wil Kec. Bolaang Uki, Perda No. 4/2015"
,71.11.07,7 Tomini,,,,,,7,,,Pemekaran wil. Kec. Posigadan Perda No. 2/2016
,71.71,12 KOTA MANADO,Manado,,,11,87,0,162,476.910,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,71.71.01,1 Bunaken,,,,,5,,,,
,71.71.02,2 Tuminting,,,,,10,,,,"Perbaikan nama semula Tuminiting, Perda Kota Manado No.2/2012"
,71.71.03,3 Singkil,,,,,9,,,,
,71.71.04,4 Wenang,,,,,12,,,,
,71.71.05,5 Tikala,,,,,5,,,,
