Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
74.03.40010,Pulau Barigau Utara,,"04°53'15.36"" S 122°45'22.86"" T",TBP
74.03.40011,Pulau Belanbelan Besar,,"04°41'51.72"" S 122°23'06.94"" T",TBP
74.03.40012,Pulau Belanbelan Kecil,,"04°42'59.00"" S 122°24'00.00"" T",TBP
74.03.40013,Pulau Bembulo Besar,,"04°54'46.98"" S 122°45'36.72"" T",TBP
74.03.40014,Pulau Bembulo Kecil,,"04°54'47.21"" S 122°45'36.07"" T",TBP
74.03.40015,Pulau Bembulo Selatan,,"04°54'51.66"" S 122°45'41.15"" T",TBP
74.03.40016,Pulau Bembulo Utara,,"04°54'43.54"" S 122°45'34.78"" T",TBP
74.03.40017,Pulau Bero,,"04°34'43.00"" S 122°17'57.99"" T",BP
74.03.40018,Pulau Bontubontu Barat,,"04°35'37.00"" S 122°42'41.00"" T",BP
74.03.40019,Pulau Bontubontu Timur,,"04°36'02.15"" S 122°43'26.32"" T",BP
74.03.40020,Pulau Bungintaburi,,"04°55'43.00"" S 122°16'27.99"" T",TBP
74.03.40021,Pulau Dalam Teluklaiworu Selatan,,"04°57'46.18"" S 122°45'31.29"" T",TBP
74.03.40022,Pulau Dalam Teluklaiworu Tengah,,"04°57'42.25"" S 122°45'33.12"" T",TBP
74.03.40023,Pulau Dalam Teluklaiworu Utara,,"04°57'40.13"" S 122°45'34.52"" T",TBP
74.03.40024,Pulau Djongkere,,"04°55'37.76"" S 122°45'52.26"" T",TBP
74.03.40025,Pulau Djongkere Besar,,"04°55'16.77"" S 122°45'46.99"" T",TBP
74.03.40026,Pulau Djongkere Kecil,,"04°55'15.62"" S 122°45'47.26"" T",TBP
74.03.40027,Pulau Gala,,"04°52'14.62"" S 122°16'00.80"" T",BP
74.03.40028,Pulau Gala Kecil,,"04°53'15.00"" S 122°17'40.99"" T",BP
74.03.40029,Pulau Ghilei,,"04°55'46.48"" S 122°45'27.04"" T",TBP
74.03.40030,Pulau Ghodo Dalam,,"04°54'14.17"" S 122°45'13.19"" T",TBP
74.03.40031,Pulau Ghodo Luar,,"04°54'15.77"" S 122°45'12.39"" T",TBP
74.03.40032,Pulau Ghodo Selatan,,"04°54'17.74"" S 122°45'28.62"" T",TBP
74.03.40033,Pulau Ghodo Tengah,,"04°54'14.49"" S 122°45'25.82"" T",TBP
74.03.40034,Pulau Ghodo Utara,,"04°54'13.31"" S 122°45'26.26"" T",TBP
74.03.40035,Pulau Ghoghombio Dalam,,"04°57'41.17"" S 122°43'53.54"" T",TBP
74.03.40036,Pulau Ghoghombio Luar,,"04°57'49.99"" S 122°44'00.24"" T",TBP
74.03.40037,Pulau Ghoghombio Selatan,,"04°58'13.28"" S 122°45'24.89"" T",TBP
74.03.40038,Pulau Ghoghombio Utara,,"04°57'33.40"" S 122°44'07.72"" T",TBP
74.03.40039,Pulau Ghole,,"04°34'01.06"" S 122°42'20.21"" T",TBP
74.03.40040,Pulau Ghomenokuku,,"04°54'25.36"" S 122°45'37.46"" T",TBP
74.03.40041,Pulau Indo,,"04°40'54.99"" S 122°25'52.00"" T",BP
74.03.40042,Pulau Kabenta,,"04°57'13.82"" S 122°45'39.39"" T",TBP
74.03.40043,Pulau Kalekalei Luar,,"04°56'11.00"" S 122°45'42.78"" T",TBP
74.03.40044,Pulau Kalekalei Tengah,,"04°56'12.65"" S 122°45'43.85"" T",TBP
74.03.40045,Pulau Kasasi Besar,,"04°55'53.77"" S 122°45'36.97"" T",TBP
74.03.40046,Pulau Kasasi Kecil,,"04°55'53.84"" S 122°45'38.12"" T",TBP
74.03.40047,Pulau Katela,,"04°42'06.00"" S 122°28'44.00"" T",BP
74.03.40048,Pulau Kayuangin,,"04°38'50.97"" S 122°22'59.54"" T",BP
74.03.40049,Pulau Kodadarano Barat,,"04°53'06.34"" S 122°45'25.22"" T",TBP
