K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,Air Salemba,,,"Menjadi wil Kec. Gabek, Perda No. 2/2011"
,,,,,Selindung,,,"Menjadi wil Kec. Gabek, Perda No. 2/2011"
19.71.04,,,,4Rangkui,8,-,,
19.71.04.1001,,,,,1Pintu Air,,,
19.71.04.1002,,,,,2Bintang,,,
,,,,,Pasar Padi,,,"Menjadi wil Kec. Girimaya, Perda No. 2/2011"
,,,,,Pasir Putih,,,"Menjadi wil Kec. Bukit Intan, Perda No. 2/2011"
19.71.04.1005,,,,,3Masjid Jamik,,,
19.71.04.1006,,,,,4Asam,,,
19.71.04.1007,,,,,5Melintang,,,
19.71.04.1008,,,,,6Parit Lalang,,,
19.71.04.1009,,,,,7Keramat,,,
19.71.04.1010,,,,,8Gajah Mada,,,"Pemekaran sebagian Kel. Keramat dan Kel. Asam, Perda No. 2/2011"
19.71.05,,,,5Gerunggang,6,-,,
19.71.05.1001,,,,,1Taman Bunga,,,
19.71.05.1002,,,,,2Bukit Merapen,,,"Perbaikan nama kel. semula Bukitmerapin menjadi Bukit Merapen,
sesuai:
Perda No. 02 Tahun 2011;
Surat Sekda Prov. Kep. Babel No. 120/03/03.a/1 tgl 31 Agustus 2022;
dan
Surat Walikota Pangkalpinang No. 140/406/PEM/SETDA/VIII/2022 tgl 25
Agustus 2022."
,,,,,Kejaksaan,,,"Menjadi wil Kec. Taman Sari, Perda No. 2/2011"
19.71.05.1004,,,,,3Bukit Sari,,,"Perbaikan nama kel. semula Bukitsari menjadi Bukit Sari, sesuai:
Perda No. 02 Tahun 2011;
Surat Sekda Prov. Kep. Babel No. 120/03/03.a/1 tgl 31 Agustus 2022;
dan
Surat Walikota Pangkalpinang No. 140/406/PEM/SETDA/VIII/2022 tgl 25
Agustus 2022."
19.71.05.1005,,,,,4Tua Tunu Indah,,,"Perubahan nama kel. semula Tua Tunu menjadi Tua Tunu Indah,
sesuai:
Perda No. 02 Tahun 2011;
Surat Sekda Prov. Kep. Babel No. 120/03/03.a/1 tgl 31 Agustus 2022;
dan
Surat Walikota Pangkalpinang No. 140/406/PEM/SETDA/VIII/2022 tgl 25
Agustus 2022."
19.71.05.1006,,,,,5Kacang Pedang,,,
19.71.05.1007,,,,,6Air Kepala Tujuh,,,"Pemekaran sebagian Kel. Tua Tunu, Perda No 2/2011"
19.71.06,,,,6Gabek,6,-,,"Pemekaran sebagian Kec. Pangkal Balam, Perda No. 2/2011"
19.71.06.1001,,,,,1Selindung,,,"Semula wil. Kec. Pangkalan Baru Kab. Bangka Tengah, PP No.
79/2007, PERDA No. 18/2009, Semula wil Kec. Pangkal Balam Perda
No. 2/2011"
19.71.06.1002,,,,,2Selindung Baru,,,"Semula wil Kec. Pangkal Balam, Perda No. 2/2011"
19.71.06.1003,,,,,3Gabek Satu,,,"Semula wil Kec. Pangkal Balam, Perda No. 2/2011"
,,,,,,,,
