K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Lopok,,"Menjadi wil. Kec. Lopok, Perda No. 8/2005"
52.04.12.2005,,,,,,2 Labuhan Kuris,,
52.04.12.2006,,,,,,3 Dete,,
,,,,,,Langam,,"Menjadi wil. Kec. Lopok, Perda No. 8/2005"
,,,,,,Mamak,,"Menjadi wil. Kec. Lopok, Perda No. 8/2005"
52.04.12.2009,,,,,,4 Hijrah,,
52.04.13,,,,10Plampang,-,11,,
,,,,,,Simu,,Menjadi wil. Kec. Maronge
,,,,,,Maronge,,Menjadi wil. Kec. Maronge
52.04.13.2003,,,,,,1 Muer,,
52.04.13.2004,,,,,,2 Plampang,,
52.04.13.2005,,,,,,3 Teluk Santong,,
52.04.13.2006,,,,,,4 Sepayung,,
52.04.13.2007,,,,,,5 Sepakat,,
52.04.13.2008,,,,,,6 UPT. Prode SP.I,,"Perbaikan nama desa semula UPT. Perode SP I menjadi UPT. Prode
SP.I, sesuai:
Surat Gubernur Provinsi Nusa Tenggara Barat
No.120/390/Pem&Otda/2022 Tanggal 31 Agustus 2022; dan
BA Verifikasi dan Pemutakhiran Data Desa di Kabupaten Sumbawa
No.140/403/DPMD/2022 Tanggal 25 Agustus 2022."
52.04.13.2009,,,,,,7 UPT. Prode SP II,,"Perbaikan nama desa semula UPT. Perode SP II menjadi UPT. Prode SP
II, sesuai:
Surat Gubernur Provinsi Nusa Tenggara Barat
No.120/390/Pem&Otda/2022 Tanggal 31 Agustus 2022; dan
BA Verifikasi dan Pemutakhiran Data Desa di Kabupaten Sumbawa
No.140/403/DPMD/2022 Tanggal 25 Agustus 2022."
52.04.13.2010,,,,,,8 UPT. Prode SP III,,"Perbaikan nama desa semula UPT Perode SP III menjadi UPT. Prode SP
III, sesuai:
Surat Gubernur Provinsi Nusa Tenggara Barat
No.120/390/Pem&Otda/2022 Tanggal 31 Agustus 2022; dan
BA Verifikasi dan Pemutakhiran Data Desa di Kabupaten Sumbawa
No.140/403/DPMD/2022 Tanggal 25 Agustus 2022."
,,,,,,Pemasar,,Menjadi wil. Kec. Maronge
52.04.13.2012,,,,,,9 Selanteh,,
52.04.13.2013,,,,,,10 Brang Kolong,,
52.04.13.2014,,,,,,11 Usar,,
52.04.14,,,,11Empang,-,10,,
52.04.14.2001,,,,,,1 Boal,,
52.04.14.2002,,,,,,2 Jotang,,
52.04.14.2003,,,,,,3 Empang Atas,,
52.04.14.2004,,,,,,4 Empang Bawa,,
52.04.14.2005,,,,,,5 Ongko,,
,,,,,,Batu Lanteh,,Menjadi wil. Kec. Tarano
,,,,,,,,
