K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
76.04.05.2006,,,,,,5 Piriang Tapiko,,
76.04.05.2007,,,,,,6 Peburru,,Perda No. 8/2008
76.04.05.2008,,,,,,7 Taloba,,Perda No. 8/2008
76.04.05.2009,,,,,,8 Pollewani,,Perda No. 8/2008
76.04.05.2010,,,,,,9 Arabua,,Perda No. 8/2008
76.04.05.2011,,,,,,10 Besoangin Utara,,Perda No. 8/2008
76.04.05.2012,,,,,,11 Poda-Poda,,"Perda No. 8/2008.
Perbaikan nama desa semula Poda menjadi Poda-Poda, sesuai:
Surat Pernyataan Bup. Polewali Mandar No.
B-186/Bupati/Pem/100/08/2022; dan
Surat Sekda Kab. Polewali Mandar No. B-2102.01.02/2601/2022 tgl 22
September 2022."
76.04.05.2013,,,,,,12 Taramanu Tua,,Perda No. 8/2008
76.04.06,,,,6Binuang,1,9,,
76.04.06.2001,,,,,,1 Tonyaman,,
76.04.06.2002,,,,,,2 Kuajang,,
76.04.06.2003,,,,,,3 Paku,,
76.04.06.2004,,,,,,4 Mirring,,
76.04.06.1005,,,,,1Amassangan,,,Peningkatan status kelurahan Perda No. 7/2008
76.04.06.2006,,,,,,5 Batetangnga,,
76.04.06.2007,,,,,,6 Mammi,,Perda No. 1/2004
76.04.06.2008,,,,,,7 Kaleok,,Perda No. 8/2008
76.04.06.2009,,,,,,8 Amola,,Perda No. 8/2008
76.04.06.2010,,,,,,9 Rea,,Perda No. 8/2008
76.04.07,,,,7Tapango,1,13,,
76.04.07.1001,,,,,1Pelitakan,,,
76.04.07.2002,,,,,,1 Tapango,,
76.04.07.2003,,,,,,2 Rappang,,
76.04.07.2004,,,,,,3 Dakka,,
76.04.07.2005,,,,,,4 Batu,,
76.04.07.2006,,,,,,5 Riso,,
76.04.07.2007,,,,,,6 Palatta,,
76.04.07.2008,,,,,,7 Tapango Barat,,Perda No. 1/2004
76.04.07.2009,,,,,,8 Kurrak,,Perda No. 1/2004
76.04.07.2010,,,,,,9 Bussu,,Perda No. 1/2004
76.04.07.2011,,,,,,10 Tuttula,,Perda No. 8/2008
76.04.07.2012,,,,,,11 Jambu Malea,,Perda No. 8/2008
76.04.07.2013,,,,,,12 Kalimbua,,Perda No. 8/2008
76.04.07.2014,,,,,,13 Banato Rejo,,Perda No. 8/2008
76.04.08,,,,8Mapilli,1,11,,
,,,,,,,,
