NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,53,NUSA TENGGARA TIMUR,2,
1,53.01,KAB. KUPANG,19,
2,53.02,KAB TIMOR TENGAH SELATAN,1,
3,53.05,KAB. ALOR,17,
4,53.06,KAB. FLORES TIMUR,19,
5,53.07,KAB. SIKKA,19,
6,53.08,KAB. ENDE,6,
7,53.09,KAB. NGADA,28,
8,53.10,KAB. MANGGARAI,1,
9,53.11,KAB. SUMBA TIMUR,78,
10,53.12,KAB. SUMBA BARAT,28,
11,53.13,KAB. LEMBATA,4,
12,53.14,KAB. ROTE NDAO,120,
13,53.15,KAB. MANGGARAI BARAT,244,
14,53.16,KAB. NAGEKEO,3,
15,53.17,KAB. SUMBA TENGAH,14,
16,53.20,KAB. SABU RAIJUA,6,
,,TOTAL,609,
