K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12,SUMATERA UTARA,,,,,,,
12.76,KOTA TEBING TINGGI,,,5,35,0,"39,170","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
12.76.01,,,,1Padang Hulu,7,-,,
12.76.01.1001,,,,,1Pabatu,,,
12.76.01.1002,,,,,2Lubuk Baru,,,
,,,,,Durian,,,"Menjadi wil. Kec. Bajenis, Perda No. 15/2006"
,,,,,Mandailing,,,Menjadi wil. Kec. Tb. Tinggi Kota Perda No. 15/2006
,,,,,Pasar Baru,,,"Menjadi wil. Kec. Tb. Tinggi Kota , Perda No. 15/2006"
12.76.01.1006,,,,,3Persiakan,,,
12.76.01.1007,,,,,4Bandar Sono,,,
,,,,,Pelita,,,"Menjadi wil. Kec. Bajenis, Perda No. 15/2006"
,,,,,Pasar Gambir,,,"Menjadi wil. Kec. Tb. Tinggi Kota, Perda No. 15/2006"
12.76.01.1010,,,,,5Tualang,,,
12.76.01.1011,,,,,6Padang Merbau,,,Perda No. 15/2006
12.76.01.1012,,,,,7Lubuk Raya,,,Perda No. 15/2006
12.76.02,,,,2Rambutan,7,-,,
,,,,,Bulian,,,"Menjadi wil. Kec. Bajenis, Perda No. 15/2006"
,,,,,Berohol,,,"Menjadi wil. Kec. Bajenis, Perda No. 15/2006"
,,,,,Bandar Sakti,,,"Menjadi wil. Kec. Bajenis, Perda No. 15/2006"
12.76.02.1004,,,,,1Rantau Laban,,,
,,,,,Badak Bejuang,,,"Menjadi wil. Kec. Tb. Tinggi Kota, Perda No. 15/2006"
,,,,,Pinang Mancung,,,"Menjadi wil. Kec. Bajenis, Perda No. 15/2006"
12.76.02.1007,,,,,2Karya Jaya,,,
,,,,,Bandar Utama,,,"Menjadi wil. Kec. Tb. Tinggi Kota, Perda No. 15/2006"
12.76.02.1009,,,,,3Lalang,,,
12.76.02.1010,,,,,4Tanjung Marulak,,,
12.76.02.1011,,,,,5Sri Padang,,,
12.76.02.1012,,,,,6Tanjung Marulak Hilir,,,Perda No. 15/2006
12.76.02.1013,,,,,7Mekar Sentosa,,,Perda No. 15/2006
12.76.03,,,,3Padang Hilir,7,-,,
12.76.03.1001,,,,,1Bagelen,,,
12.76.03.1002,,,,,2Tambangan,,,
,,,,,Rambung,,,"Menjadi wil. Kec. Tb. Tinggi Kota, Perda No. 15/2006"
12.76.03.1004,,,,,3Tebing Tinggi,,,
,,,,,Tebing Tinggi Lama,,,"Menjadi wil. Kec. Tb. Tinggi Kota, Perda No. 15/2006"
12.76.03.1006,,,,,4Satria,,,
12.76.03.1007,,,,,5Damar Sari,,,Perda No. 15/2006
,,,,,,,,
