NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,19,KEPULAUAN BANGKA BELITUNG,2,
1,19.01,KAB. BANGKA,56,
2,19.02,KAB. BELITUNG,161,
3,19.03,KAB. BANGKA SELATAN,61,
4,19.04,KAB. BANGKA TENGAH,24,
5,19.05,KAB. BANGKA BARAT,81,
6,19.06,KAB. BELITUNG TIMUR,122,
,,TOTAL,507,
