K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.01.04.2013,,,,,,8 Lubuk Agung,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.04.2014,,,,,,9 Koto Mesjid,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,Bandur Picak,,Menjadi wil. Kec. Koto Kampar Hulu Perda No. 22/2003
14.01.04.2016,,,,,,10 Pongkai Istiqomah,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.04.2017,,,,,,11 Binamang,,
14.01.04.1018,,,,,1Batu Bersurat,,,
14.01.04.2019,,,,,,12 Koto Tuo Barat,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.05,,,,5Kuok,-,9,,"Perubahan nama dari Kec. Bangkinang Barat menjadi Kec. Kuok,
Perda No. 16/2011"
14.01.05.2001,,,,,,1 Kuok,,
,,,,,,Ganting,,"Menjadi wil. Kec. Salo, Perda No 22 / 2003"
,,,,,,Sepungguk,,"Menjadi wil. Kec. Salo, Perda No 22 / 2003"
,,,,,,Siabu,,"Menjadi wil. Kec. Salo, Perda No 22 / 2003"
14.01.05.2005,,,,,,2 Merangin,,
14.01.05.2006,,,,,,3 Empat Balai,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.05.2007,,,,,,4 Pulau Jambu,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.05.2008,,,,,,5 Silam,,
,,,,,,Ganting Damai,,"Menjadi wil. Kec. Salo, Perda No 22 / 2003"
14.01.05.2010,,,,,,6 Bukit Melintang,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.01.05.2011,,,,,,7 Pulau Terap,,"Pemekaran sebagian Desa Merangin Perda No.17/2011, Perbaikan
nama desa Validasi Ditjen Bina Pemdes tgl 23 Juni 2016, Perbaikan
nama hasil validasi data nama desa tgl 28 April 2017 dan rekomendasi
Ditjen Bina Pemdes No.146/3672/BPD tgl 21 Juni 2017"
14.01.05.2012,,,,,,8 Lereng,,Pemekaran sebagian Desa Merangin Perda No. 17/2011
,,,,,,,,
