K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Nantukidan,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Labang,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Sumantipal,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Ngawol,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Bululaun Hilir,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Lagas,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Panas,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Langgason,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Tambalang Hulu,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Kuyo,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Bokok,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
,,,,,,Tau Lumbis,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Bululaun Hulu,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Kalisun,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Mamasin,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Sibalu,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Duyan,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Tuntulibing,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Tetagas,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Kabungolor,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Lipaga,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Hulu sesuai Perda No. 2/2019."
,,,,,,Tantalujuk,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
65.03.16,,,,16Sembakung Atulai,-,10,,"Pemekaran sebagian Kec. Sembakung, Perda No. 2/2012"
65.03.16.2001,,,,,,1 Lubok Buat,,"Semula wil Kec. Sembakung, Perda No. 2/2012"
65.03.16.2002,,,,,,2 Katul,,"Semula wil Kec. Sembakung, Perda No. 2/2012"
65.03.16.2003,,,,,,3 Mambulu,,"Semula wil Kec. Sembakung, Perda No. 2/2012"
,,,,,,,,
