NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,15.04,KAB. BATANGHARI,2,
2,15.05,KAB. MUARO JAMBI,1,
3,15.07,KAB. TANJUNG JABUNG TIMUR,11,
,,TOTAL,14,
