NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,75.02,KAB. BOALEMO,20,
2,75.04,KAB. POHUWATO,52,
3,75.05,KAB. GORONTALO UTARA,55,
,,TOTAL,127,
