K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
91,P A P U A,,,,,,,
91.20,KAB. MAMBERAMO RAYA,,,8,0,60,"28.042,391","Luas Wilayah Indikatif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
91.20.01,,,,1Mamberamo Tengah,-,11,,Semula wil. Kab. Sarmi
91.20.01.2001,,,,,,1 Burmeso,,
91.20.01.2002,,,,,,2 Anggreso,,
91.20.01.2003,,,,,,3 Kasonaweja,,
91.20.01.2004,,,,,,4 Metaweja,,
91.20.01.2005,,,,,,5 Namunaweja,,
91.20.01.2006,,,,,,6 Danau Bira,,
91.20.01.2007,,,,,,7 Muru Mare,,
91.20.01.2008,,,,,,8 Kwerba,,
91.20.01.2009,,,,,,9 Sasakwesar,,"koreksi nama desa Rekom Pemdes No145/1820/SET tgl 15 nov 2018
ttg penyampaian hasil validasi."
91.20.01.2010,,,,,,10 Babija,,
91.20.01.2011,,,,,,11 Marina Valen,,
,,,,,,Kuastra,,"Penghapusan Desa Kuastra Surat Bupati No 140/402/SET/2015 tgl 10
sept 2017 hal Penghapusan Kampung dan Rekom Pemdes No
146/3672/BPD tgl 21n Juni 2017"
,,,,,,Towao,,"Penghapusan Desa Towao Surat Bupati No 140/402/SET/2015 tgl 10
sept 2017 hal Penghapusan Kampung dan Rekom Pemdes No
146/3672/BPD tgl 21n Juni 2017"
91.20.02,,,,2Mamberamo Hulu,-,8,,Semula wil. Kab. Sarmi
,,,,,,Haya,,"Menjadi wil. Kec. Rufaer, Surat Bupati Mamberamo Raya Nomor :
140/092/SET/V/2018"
91.20.02.2001,,,,,,1 Dabra,,
91.20.02.2002,,,,,,2 Taiyeve,,
91.20.02.2003,,,,,,3 Fuao,,
91.20.02.2004,,,,,,4 Papasena I,,"koreksi nama desa Rekom Pemdes No145/1820/SET tgl 15 nov 2018
ttg penyampaian hasil validasi."
91.20.02.2005,,,,,,5 Papasena II,,"koreksi nama desa Rekom Pemdes No145/1820/SET tgl 15 nov 2018
ttg penyampaian hasil validasi."
91.20.02.2006,,,,,,6 Dou,,
,,,,,,Tayai,,"Penghapusan Desa Tayai Surat Bupati No 140/402/SET/2015 tgl 10
sept 2017 hal Penghapusan Kampung dan Rekom Pemdes No
146/3672/BPD tgl 21n Juni 2017"
91.20.02.2008,,,,,,7 Fokri,,
,,,,,,Sikari,,"Penghapusan Desa Sikari Surat Bupati No 140/402/SET/2015 tgl 10
sept 2017 hal Penghapusan Kampung dan Rekom Pemdes No
146/3672/BPD tgl 21 Juni 2017"
,,,,,,Dou,,Duplikasi nama desa
,,,,,,,,
