Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
72.06.40259,Pulau Tukoh Tarape Basar,,"03°19'21.28"" S 122°24'22.16"" T",
72.06.40260,Pulau Tukoh Tarape Diata,,"03°19'20.60"" S 122°24'24.59"" T",
72.06.40261,Pulau Tukoh Tarape Kecil,,"03°19'23.35"" S 122°24'27.98"" T",
72.06.40262,Pulau Tukoh Taringke Besar,,"03°14'04.80"" S 122°21'44.26"" T",
72.06.40263,Pulau Tukoh Taringke Darat,,"03°14'15.88"" S 122°21'49.72"" T",
72.06.40264,Pulau Tukoh Taringke Darat,,"03°14'11.82"" S 122°21'46.90"" T",
72.06.40265,Pulau Tukoh Taringke Kecil,,"03°14'06.51"" S 122°21'41.82"" T",
72.06.40266,Pulau Tukoh Taringke Selatan,,"03°14'13.51"" S 122°21'44.47"" T",
72.06.40267,Pulau Tukoh Taringke Tengah,,"03°14'13.60"" S 122°21'46.35"" T",
72.06.40268,Pulau Tukoh Tira,,"03°15'59.19"" S 122°25'12.29"" T",
72.06.40269,Pulau Tukoh Titirra Besar,,"03°15'53.57"" S 122°22'44.14"" T",
72.06.40270,Pulau Tukoh Titirra Kecil,,"03°15'55.50"" S 122°22'44.10"" T",
72.06.40271,Pulau Tukoh Torohluko,,"03°06'43.35"" S 122°35'05.03"" T",TBP
72.06.40272,Pulau Tukoh Waruwaru,,"03°15'02.87"" S 122°23'46.79"" T",
72.06.40273,Pulau Tukolekoanebaya,,"03°15'25.57"" S 122°25'53.95"" T",
72.06.40274,Pulau Tutuko,,"03°03'17.66"" S 122°22'40.27"" T",
72.06.40277,Pulau Umbele,,"03°04'07.00"" S 122°28'26.00"" T",BP
72.06.40278,Pulau Umbele Gunung,,"03°04'22.00"" S 122°29'53.99"" T",TBP
72.06.40279,Pulau Umbele Mandidi,,"03°03'34.67"" S 122°28'02.08"" T",TBP
72.06.40280,Pulau Waruwaru,,"03°15'04.00"" S 122°23'44.52"" T",TBP
72.07,KAB. BANGGAI KEPULAUAN,294,,
72.07.40001,Pulau Akadululul,,"01°18'47.86"" S 123°11'34.79"" T",TBP
72.07.40002,Pulau Amoamo,,"01°20'29.88"" S 123°12'52.43"" T",
72.07.40003,Pulau Ampas,,"01°25'09.99"" S 123°17'19.00"" T",TBP
72.07.40004,Pulau Ampas Lua,,"01°24'47.38"" S 123°17'57.30"" T",
72.07.40005,Pulau Ampas Meng,,"01°24'45.26"" S 123°18'00.90"" T",
72.07.40006,Pulau Ampas Sangkap,,"01°24'58.45"" S 123°17'58.66"" T",
72.07.40007,Pulau Ampas Timur Laut,,"01°24'53.79"" S 123°17'48.02"" T",TBP
72.07.40008,Pulau Ampas Tolu,,"01°24'55.14"" S 123°17'43.89"" T",
72.07.40010,Pulau Apal Dua,,"01°29'54.91"" S 123°14'57.52"" T",TBP
72.07.40011,Pulau Apal Empat,,"01°30'07.65"" S 123°15'07.60"" T",TBP
72.07.40012,Pulau Apal Satu,,"01°29'53.00"" S 123°14'58.99"" T",TBP
72.07.40013,Pulau Apal Tiga,,"01°29'54.54"" S 123°15'03.98"" T",TBP
72.07.40014,Pulau Ataplulu,,"01°22'33.62"" S 123°09'24.00"" T",
72.07.40015,Pulau Babanggai,,"01°20'00.49"" S 123°06'08.87"" T",TBP
72.07.40016,Pulau Babanggai Bulus,,"01°22'21.07"" S 123°04'15.87"" T",
72.07.40017,Pulau Babanggai Lalom,,"01°20'57.93"" S 123°05'31.80"" T",
72.07.40018,Pulau Babanggai Luwa,,"01°19'20.02"" S 123°06'34.07"" T",
72.07.40019,Pulau Babanggai Meng,,"01°19'11.68"" S 123°06'37.22"" T",
72.07.40020,Pulau Babanggai Tolu,,"01°20'04.94"" S 123°06'08.99"" T",
