K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Pagaran Tapah,,"Menjadi wil. Kec. Pagaran Tapah Darussalam, Perda No. 4/2005"
14.06.06.2003,,,,,,1 Kota Intan,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.06.2004,,,,,,2 Muara Dilam,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,Teluk Sono,,"Menjadi wil. Kec. Bonai Darussalam, Perda No. 4/2005"
,,,,,,Sontang,,"Menjadi wil. Kec. Bonai Darussalam, Perda No. 4/2005"
,,,,,,Bonai,,"Menjadi wil. Kec. Bonai Darussalam, Perda No. 4/2005"
14.06.06.2008,,,,,,3 Kota Raya,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.06.2009,,,,,,4 Kota Baru,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.06.2010,,,,,,5 Sungai Kuti,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.06.2011,,,,,,6 Pasir Indah,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.06.2012,,,,,,7 Pasir Luhur,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,Rawa Makmur,,Menjadi wil. Kec. Bonai Darussalam
,,,,,,Muara Intan,,"Amar Putusan Mahkamah Agung RI Nomor 395K/TUN/2011 tanggal 10
September 2012 dan Surat Menteri Dalam Negeri Nomor 135.6/2779/SJ
tanggal 31 Mei 2013 perihal Penegasan Batas Daerah antara Kab.
Rokan Hulu dengan Kab. Kampar Provinsi Riau."
,,,,,,Rimba Jaya,,"Menjadi wil. Kec. Pagaran Tapah Darussalam, Perda No. 4/2005"
,,,,,,Rimba Makmur,,"Menjadi wil. Kec. Pagaran Tapah Darussalam, Perda No. 4/2005"
14.06.06.2017,,,,,,8 Bukit Intan Makmur,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.06.2018,,,,,,9 Bagan Tujuh,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
