K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
62.06.09.2001,,,,,,1 Mendawai,,
62.06.09.2002,,,,,,2 Teluk Sebulu,,
62.06.09.2003,,,,,,3 Kampung Melayu,,
62.06.09.2004,,,,,,4 Tewang Kampung,,"Perubahan nama desa sesuai Surat Bup. No. 100/230/Adpum/2015 tgl
9 Juni 2015"
62.06.09.2005,,,,,,5 Perigi,,
62.06.09.2006,,,,,,6 Mekar Tani,,Perda No. 14/2007
62.06.09.2007,,,,,,7 Tumbang Bulan,,PMD
62.06.10,,,,10Katingan Kuala,2,14,,
62.06.10.1001,,,,,1Pagatan Hilir,,,
62.06.10.1002,,,,,2Pagatan Hulu,,,
62.06.10.2003,,,,,,1 Kampung Keramat,,"Perubahan nama desa sesuai Surat Bup. No. 100/230/Adpum/2015 tgl
9 Juni 2015"
62.06.10.2004,,,,,,2 Kampung Tengah,,
62.06.10.2005,,,,,,3 Jaya Makmur,,
62.06.10.2006,,,,,,4 Subur Indah,,
62.06.10.2007,,,,,,5 Kampung Baru,,
62.06.10.2008,,,,,,6 Bangun Jaya,,"Perubahan nama desa sesuai Surat Bup. No. 100/230/Adpum/2015 tgl
9 Juni 2015"
62.06.10.2009,,,,,,7 Setia Mulia,,
62.06.10.2010,,,,,,8 Singam Raya,,
62.06.10.2011,,,,,,9 Sebangau Jaya,,Perda No. 14/2007
62.06.10.2012,,,,,,10 Sungai Kaki,,Perda No. 14/2007
62.06.10.2013,,,,,,11 Selat Baning,,Perda No. 14/2007
62.06.10.2014,,,,,,12 Makmur Utama,,Perda No. 14/2007
62.06.10.2015,,,,,,13 Bumi Subur,,Perda No. 14/2007
62.06.10.2016,,,,,,14 Bakung Raya,,Perda No. 14/2007
62.06.11,,,,11Tasik Payawan,-,8,,
62.06.11.2001,,,,,,1 Talingke,,
62.06.11.2002,,,,,,2 Hiyang Bana,,
62.06.11.2003,,,,,,3 Petak Bahandang,,
62.06.11.2004,,,,,,4 Handiwung,,
62.06.11.2005,,,,,,5 Tumbang Panggo,,
62.06.11.2006,,,,,,6 Tewang Tampang,,
62.06.11.2007,,,,,,7 Luwuk Kanan,,
62.06.11.2008,,,,,,8 Luwuk Kiri,,
62.06.12,,,,12Petak Malai,-,7,,Perda No. 15/2007
62.06.12.2001,,,,,,1 Tumbang Baraoi,,Semula wil. Kec. Sanaman Mantikei
62.06.12.2002,,,,,,2 Tumbang Jala,,Semula wil. Kec. Sanaman Mantikei
62.06.12.2003,,,,,,3 Batu Badak,,Semula wil. Kec. Sanaman Mantikei
62.06.12.2004,,,,,,4 Batu Tukan,,Semula wil. Kec. Sanaman Mantikei
,,,,,,,,
