NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,33.20.09,9 Keling,,,,,,12,,,
,33.20.10,10 Karimunjawa,,,,,,4,,,"Perbaikan nama kecamatan semula Karimun Jawa menjadi
Karimunjawa, sesuai:
Surat Bupati Jepara No.140/0945 Tanggal 16 Februari 2016; dan
Surat Gub No. 130.1/00014678 tgl 19 Okt 2020."
,33.20.11,11 Tahunan,,,,,,15,,,
,33.20.12,12 Nalumsari,,,,,,15,,,
,33.20.13,13 Kalinyamatan,,,,,,12,,,
,33.20.14,14 Kembang,,,,,,11,,,
,33.20.15,15 Pakis Aji,,,,,,8,,,Perda No. 17/2007
,33.20.16,16 Donorojo,,,,,,8,,,Perda No. 17/2007
,33.21,21 KAB. DEMAK,Demak,,,14,6,243,978,1.218.890,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.21.01,1 Mranggen,,,,,,19,,,
,33.21.02,2 Karangawen,,,,,,12,,,
,33.21.03,3 Guntur,,,,,,20,,,
,33.21.04,4 Sayung,,,,,,20,,,
,33.21.05,5 Karangtengah,,,,,,17,,,
,33.21.06,6 Wonosalam,,,,,,21,,,
,33.21.07,7 Dempet,,,,,,16,,,
,33.21.08,8 Gajah,,,,,,18,,,
,33.21.09,9 Karanganyar,,,,,,17,,,
,33.21.10,10 Mijen,,,,,,15,,,
,33.21.11,11 Demak,,,,,6,13,,,
,33.21.12,12 Bonang,,,,,,21,,,
,33.21.13,13 Wedung,,,,,,20,,,
,33.21.14,14 Kebonagung,,,,,,14,,,
,33.22,22 KAB. SEMARANG,Ungaran,,,19,27,208,1.019,1.056.965,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.22.01,1 Getasan,,,,,,13,,,
,33.22.02,2 Tengaran,,,,,,15,,,
,33.22.03,3 Susukan,,,,,,13,,,
,33.22.04,4 Suruh,,,,,,17,,,
,33.22.05,5 Pabelan,,,,,,17,,,
,33.22.06,6 Tuntang,,,,,,16,,,
,33.22.07,7 Banyubiru,,,,,,10,,,
