Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.04.40056,Pulau Barok,,"00°11'33.60"" S 104°47'34.66"" T",TBP
21.04.40057,Pulau Baru,,"00°27'11.41"" U 104°24'09.00"" T",BP
21.04.40058,Pulau Baruk,,"00°16'59.99"" S 104°22'58.40"" T",BP
21.04.40059,Pulau Baruk Kecik,,"00°16'34.93"" S 104°22'43.75"" T",TBP
21.04.40060,Pulau Basing,,"00°15'13.86"" U 104°30'01.00"" T",BP
21.04.40061,Pulau Basing,,"00°08'38.07"" S 104°44'29.25"" T",TBP
21.04.40062,Pulau Basingkelumu,,"00°16'03.00"" S 104°29'36.60"" T",TBP
21.04.40063,Pulau Batang Besar,,"00°17'53.70"" U 104°21'09.00"" T",TBP
21.04.40064,Pulau Batang Kecik,,"00°16'22.62"" U 104°23'47.07"" T",BP
21.04.40065,Pulau Batang Kecik,,"00°16'03.00"" U 104°24'23.83"" T",TBP
21.04.40066,Pulau Batin Besar,,"01°10'29.15"" S 105°18'33.62"" T",TBP
21.04.40067,Pulau Batin Kecik,,"01°10'36.22"" S 105°18'38.82"" T",TBP
21.04.40068,Pulau Batu Bersongkok,,"00°39'35.19"" S 104°13'46.50"" T",
21.04.40069,Pulau Batu Kokok,,"00°04'52.00"" S 104°39'40.00"" T",
21.04.40070,Pulau Batubalok,,"00°20'06.79"" U 104°18'09.59"" T",TBP
21.04.40071,Pulau Batubedare,,"00°01'48.98"" S 104°50'09.78"" T",
21.04.40072,Pulau Batubelayar,,"00°24'51.41"" U 104°15'54.23"" T",TBP
21.04.40073,Pulau Batuberlobang,,"00°08'48.66"" U 104°12'15.15"" T",BP
21.04.40074,Pulau Batubuntal,,"00°05'19.68"" S 104°43'46.10"" T",TBP
21.04.40075,Pulau Batugajah,,"00°03'00.00"" U 104°29'31.59"" T",TBP
21.04.40076,Pulau Batukongki,,"00°04'14.93"" S 104°50'40.63"" T",
21.04.40077,Pulau Batumalangkelembai,,"00°18'34.40"" S 104°23'41.35"" T",
21.04.40078,Pulau Batumalangkelembai Kecil,,"00°18'30.73"" S 104°23'39.82"" T",
21.04.40079,Pulau Batumeladung,,"00°07'48.02"" S 104°28'44.19"" T",
21.04.40080,Pulau Batupahat,,"00°17'45.34"" S 104°23'03.00"" T",TBP
21.04.40081,Pulau Batupahat Kecik,,"00°17'43.98"" S 104°23'15.75"" T",TBP
21.04.40082,Pulau Batupahat Tengah,,"00°17'45.31"" S 104°23'10.06"" T",TBP
21.04.40083,Pulau Baturesoh,,"00°20'51.50"" S 104°55'38.20"" T",TBP
21.04.40084,Pulau Batutongkol,,"00°20'55.75"" U 104°18'03.71"" T",TBP
21.04.40085,Pulau Bayan,,"00°09'36.26"" U 104°25'22.28"" T",
21.04.40086,Pulau Bebek Besar,,"00°14'33.39"" U 104°28'37.81"" T",TBP
21.04.40087,Pulau Bebek Kecil,,"00°14'23.76"" U 104°28'36.03"" T",TBP
21.04.40088,Pulau Bedare,,"00°02'03.00"" S 104°50'11.36"" T",TBP
21.04.40089,Pulau Bedare Kecil,,"00°02'08.54"" S 104°50'15.06"" T",
21.04.40090,Pulau Bejole,,"00°09'08.73"" U 104°27'37.40"" T",TBP
21.04.40091,Pulau Belabau,,"00°01'23.20"" S 104°38'45.56"" T",TBP
21.04.40092,Pulau Belade,,"00°41'00.50"" S 104°22'39.33"" T",TBP
21.04.40093,Pulau Belading,,"00°01'04.00"" S 104°49'38.28"" T",TBP
21.04.40094,Pulau Belang,,"00°15'48.64"" U 104°29'17.47"" T",TBP
21.04.40095,Pulau Belongkeng,,"00°06'31.00"" U 104°27'15.00"" T",
