NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,72.01,KAB. BANGGAI,48,
2,72.03,KAB. DONGGALA,44,
3,72.04,KAB. TOLI TOLI,73,
4,72.05,KAB. BUOL,23,
5,72.06,KAB. MOROWALI,224,
6,72.07,KAB. BANGGAI KEPULAUAN,294,
7,72.08,KAB. PARIGI MOUTONG,23,
8,72.09,KAB. TOJO UNA UNA,494,
9,72.10,KAB. SIGI,1,
10,72.11,KAB. BANGGAI LAUT,282,
11,72.12,KAB. MOROWALI UTARA,66,
,,TOTAL,"1,572",
