NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,14.01,KAB. KAMPAR,4,
2,14.02,KAB. INDRAGIRI HULU,4,
3,14.03,KAB. BENGKALIS,19,
4,14.04,KAB. INDRAGIRI HILIR,25,
5,14.05,KAB. PELALAWAN,43,
6,14.07,KAB. ROKAN HILIR,36,
7,14.08,KAB. SIAK,1,
8,14.10,KAB. KEPULAUAN MERANTI,12,
,,TOTAL,144,
