K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Sungai Ning,,
,,,,,,Renah Kayu Embun,,"Menjadi will. Kec. Kumun Debai, Perda No.22/2005"
,,,,,,Ulu Air,,"Menjadi will. Kec. Kumun Debai, Perda No.22/2005"
,,,,,,Muara Jaya,,"Menjadi will. Kec. Kumun Debai, Perda No.22/2005"
15.01.04,,,,3Sitinjau Laut,-,14,,
,,,,,,Kayu Aro Ambai,,Menjadi wil Kec. Tanah Cogok sesuai Perda No. 13/2019
,,,,,,Bunga Tanjung,,Menjadi wil Kec. Tanah Cogok sesuai Perda No. 13/2019
,,,,,,Baru Debai,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Semerah,,Menjadi wil Kec. Tanah Cogok sesuai Perda No. 13/2019
,,,,,,Sebukar,,Menjadi wil Kec. Tanah Cogok sesuai Perda No. 13/2019
,,,,,,Pendung Hiang,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Koto Pudung,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
15.01.04.2008,,,,,,1 Hiang Tinggi,,
15.01.04.2009,,,,,,2 Ambai Atas,,
15.01.04.2010,,,,,,3 Tanjungmudo,,
15.01.04.2011,,,,,,4 Pendung Tengah,,
15.01.04.2012,,,,,,5 Pendung Hilir,,
15.01.04.2013,,,,,,6 Koto Baru Hiang,,
15.01.04.2014,,,,,,7 Betung Kuning,,
,,,,,,Koto Dumo,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Sembilan,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Koto Tuo,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Koto Panap,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Koto Tengah,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Tanjung Bungo,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Koto Padang,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Tanjung Karang,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,K.B. Tanah Kp.,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
,,,,,,Muara Air Dua,,
,,,,,,Pondok Beringin,,Menjadi wil Kec. Tanah Cogok sesuai Perda No. 13/2019
15.01.04.2026,,,,,,8 Ambai Bawah,,
,,,,,,Mekar Jaya,,"Menjadi wil. Kec. Tanah Kampung, Perda No.23/2005"
15.01.04.2028,,,,,,9 Hiang Karya,,
15.01.04.2029,,,,,,10 Hiang Lestari,,Pemekaran sebagian Desa Koto Baru Hiang Perda No. 8/2011
15.01.04.2030,,,,,,11 Angkasa Pura,,Pemekaran sebagian Desa Koto Baru Hiang Perda No. 8/2011
15.01.04.2031,,,,,,12 Hiang Sakti,,Pemekaran sebagian Desa Hiang Tinggi Perda No. 8/2011
,,,,,,Baru Semerah,,"Pemekaran sebagian Desa Semerah Perda No. 8/2011
Menjadi wil Kec. Tanah Cogok sesuai Perda No. 13/2019"
15.01.04.2033,,,,,,13 Koto Sekilan Ambai,,"Pemekaran sebagian wil Desa Ambai Atas, Perda No. 10/2012"
15.01.04.2034,,,,,,14 Penawar Tinggi,,"Pemekaran sebagian wil Desa Pendung Tengah, Perda No. 10/2012"
,,,,,,,,
