NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,53.11.20,20 Kanatang,,,,,1,4,,,Perda No. 19/2007
,53.11.21,21 Ngadu Ngala,,,,,,5,,,Perda No. 19/2007
,53.11.22,22 Mahu,,,,,,6,,,Perda No. 19/2007
,53.12,12 KAB. SUMBA BARAT,Waikabubak,,,6,11,63,757,149.802,"Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,53.12.04,1 Tana Righu,,,,,,18,,,
,53.12.10,2 Loli,,,,,5,9,,,
,53.12.11,3 Wanokaka,,,,,,14,,,
,53.12.12,4 Lamboya,,,,,,11,,,
,53.12.15,5 Kota Waikabubak,,,,,6,7,,,
,53.12.18,6 Laboya Barat,,,,,,4,,,Perda No. 6/2007
,53.13,13 KAB. LEMBATA,Lewoleba,,,9,7,144,1.268,141.534,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,53.13.01,1 Naga Wutung,,,,,,18,,,
,53.13.02,2 Atadei,,,,,,15,,,
,53.13.03,3 Ile Ape,,,,,,17,,,
,53.13.04,4 Lebatukan,,,,,,17,,,
,53.13.05,5 Nubatukan,,,,,7,11,,,
,53.13.06,6 Omesuri,,,,,,22,,,
,53.13.07,7 Buyasuri,,,,,,20,,,
,53.13.08,8 Wulandoni,,,,,,15,,,
,53.13.09,9 Ile Ape Timur,,,,,,9,,,Perda No. 18/2007
,53.14,14 KAB. ROTE NDAO,Baa,,,11,7,112,1.286,149.317,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,53.14.01,1 Rote Barat Daya,,,,,,19,,,
,53.14.02,2 Rote Barat Laut,,,,,1,11,,,
,53.14.03,3 Lobalain,,,,,3,15,,,
,53.14.04,4 Rote Tengah,,,,,1,7,,,
,53.14.05,5 Pantai Baru,,,,,1,14,,,
,53.14.06,6 Rote Timur,,,,,1,10,,,
,53.14.07,7 Rote Barat,,,,,,7,,,Perda No. 8/2005
,53.14.08,8 Rote Selatan,,,,,,7,,,Perda No. 9/2005
,53.14.09,9 Ndao Nuse,,,,,,5,,,Pemekaran Kec Perda No 4/2011
,53.14.10,10 Landu Leko,,,,,,7,,,Pemekaran Kec Perda No 5/2011
,53.14.11,11 Loaholu,,,,,,10,,,Pemekaran dari Wil Kec. Rote Barat Laut sesuai Perda Nomor 3 tahun
