K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32.11.23.2003,,,,,,3 Cimara,,
32.11.23.2004,,,,,,4 Bantarmara,,
32.11.23.2005,,,,,,5 Cipandanwangi,,
32.11.23.2006,,,,,,6 Cisalak,,
32.11.23.2007,,,,,,7 Kebonkalapa,,
32.11.24,,,,24Tomo,-,9,,
32.11.24.2001,,,,,,1 Tomo,,
32.11.24.2002,,,,,,2 Tolengas,,
32.11.24.2003,,,,,,3 Darmawangi,,
32.11.24.2004,,,,,,4 Marongge,,
32.11.24.2005,,,,,,5 Jembarwangi,,
32.11.24.2006,,,,,,6 Bugel,,
32.11.24.2007,,,,,,7 Cipeles,,
32.11.24.2008,,,,,,8 Karyamukti,,
,,,,,,Cicarimanah,,Menjadi wil. Kec. Situraja Perda No.12/2012
32.11.24.2010,,,,,,9 Mekarwangi,,"Perda No. 16/2011, Pemekaran dari sebagian wil. Desa Darmawangi"
32.11.25,,,,25Ujungjaya,-,9,,
32.11.25.2001,,,,,,1 Ujungjaya,,
32.11.25.2002,,,,,,2 Palabuan,,
32.11.25.2003,,,,,,3 Palasari,,
32.11.25.2004,,,,,,4 Kebon Cau,,"Perbaikan nama desa semula Keboncau menjadi Kebon Cau, sesuai:
Surat Sekda Kab. Sumedang No. B/1210/PEM.02.01.05/II/2021;
Perda Kab. Sumedang No. 12/2012; dan
Perda Kab. Sumedang No. 16/2011."
32.11.25.2005,,,,,,5 Sakurjaya,,
32.11.25.2006,,,,,,6 Kudangwangi,,
32.11.25.2007,,,,,,7 Sukamulya,,
32.11.25.2008,,,,,,8 Cipelang,,
32.11.25.2009,,,,,,9 Cibuluh,,
32.11.26,,,,26Jatigede,-,11,,
32.11.26.2001,,,,,,1 Cijeungjing,,
32.11.26.2002,,,,,,2 Kadujaya,,
32.11.26.2003,,,,,,3 Lebaksiuh,,
32.11.26.2004,,,,,,4 Cintajaya,,
32.11.26.2005,,,,,,5 Cipicung,,
32.11.26.2006,,,,,,6 Mekarasih,,
,,,,,,Sukakersa,,"Penghapusan desa, Perda No 11/2015 tgl 30 Des 2015, srt Pem Prov
NO 135.2/886/PemUm tgl 26 Feb 2016"
32.11.26.2008,,,,,,7 Ciranggem,,
32.11.26.2009,,,,,,8 Cisampih,,
32.11.26.2010,,,,,,9 Jemah,,
,,,,,,,,
