K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.13.03.2004,,,,,,3 Huta Bangun,,
12.13.03.2005,,,,,,4 Huta Tinggi,,
12.13.03.2006,,,,,,5 Pagur,,Perda No. 7/2002
12.13.03.2007,,,,,,6 Pardomuan,,
12.13.03.2008,,,,,,7 Parmompang,,
12.13.03.2009,,,,,,8 Ranto Natas,,
12.13.03.2010,,,,,,9 Sirangkap,,
12.13.03.2011,,,,,,10 Tanjung,,
12.13.03.2012,,,,,,11 Tebing Tinggi,,
12.13.03.2013,,,,,,12 Tanjung Julu,,Perda No. 4/2004
12.13.03.2014,,,,,,13 Banjar Lancat,,Perda No. 4/2004
12.13.03.2015,,,,,,14 Padang Laru,,Perda No. 17/2007
12.13.04,,,,4Panyabungan Selatan,1,10,,
12.13.04.2001,,,,,,1 Aek Ngali,,
12.13.04.2002,,,,,,2 Hutarimbaru,,
12.13.04.2003,,,,,,3 Hayuraja,,
12.13.04.2004,,,,,,4 Huta Julu,,Perda No. 4/2004
12.13.04.2005,,,,,,5 Kayu Laut,,
12.13.04.2006,,,,,,6 Lumban Dolok,,
12.13.04.2007,,,,,,7 Roburan Dolok,,
12.13.04.2008,,,,,,8 Roburan Lombang,,
12.13.04.1009,,,,,1Tano Bato,,,Perda No. 4/2004
12.13.04.2010,,,,,,9 Huta Raja,,Perda No. 4/2004
12.13.04.2011,,,,,,10 Pagaran Gala-Gala,,Perda No. 17/2007
12.13.05,,,,5Panyabungan Barat,1,9,,
12.13.05.2001,,,,,,1 Barbaran,,
12.13.05.2002,,,,,,2 Barbaran Jae,,
12.13.05.2003,,,,,,3 Batang Gadis,,
12.13.05.2004,,,,,,4 Huta Baringin,,
12.13.05.2005,,,,,,5 Huta Tonga BB,,
12.13.05.1006,,,,,1Longat,,,
12.13.05.2007,,,,,,6 Runding,,Perda No. 7/2002
12.13.05.2008,,,,,,7 Sirambas,,
12.13.05.2009,,,,,,8 Saba Jior,,
12.13.05.2010,,,,,,9 Batang Gadis Jae,,Pemekaran sebagian Desa Batang Gadis Perda No. 4/2004
12.13.06,,,,6Siabu,2,26,,
12.13.06.2001,,,,,,1 Aek Mual,,
12.13.06.2002,,,,,,2 Bonan Dolok,,
12.13.06.2003,,,,,,3 Huta Raja,,
12.13.06.2004,,,,,,4 Huta Puli,,
