NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,76.01,KAB. PASANGKAYU,14,
2,76.02,KAB. MAMUJU,37,
3,76.04,KAB. POLEWALI MANDAR,10,
4,76.05,KAB. MAJENE,1,
5,76.06,KAB. MAMUJU TENGAH,7,
,,TOTAL,69,
