K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
61.03.20.2011,,,,,,11 Cupang,,
61.03.20.2012,,,,,,12 Lalang,,
61.03.20.2013,,,,,,13 Baru Lombak,,
61.03.20.2014,,,,,,14 Enggadai,,
61.03.20.2015,,,,,,15 Balai Tinggi,,
,,,,,,Meliau,,"Perubahan nama Desa Meliau menjadi Harapan Makmur Perda Surat
Rekomendasi Gubernur No 140/3478/PemD"
61.03.20.2017,,,,,,16 Bhakti Jaya,,
61.03.20.2018,,,,,,17 Mukti Jaya,,
61.03.20.2019,,,,,,18 Melawi Makmur,,Pemekaran sebagian Desa Pampang Dua Perda No. 3/2011
61.03.20.2020,,,,,,19 Harapan Makmur,,"Perubahan nama Desa Meliau menjadi Harapan Makmur Perda Surat
Rekomendasi Gubernur No 140/3478/PemD"
61.03.21,,,,15Entikong,-,5,,
61.03.21.2001,,,,,,1 Nekan,,
61.03.21.2002,,,,,,2 Semanget,,"Perbaikan nama sesuai Surat Pemprov Kalbar No.100/0604/Pem-B tgl
28 Februari 2017 hal Rekomendasi Perubahan Nama Desa di Kab.
Sanggau dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
61.03.21.2003,,,,,,3 Entikong,,
61.03.21.2004,,,,,,4 Pala Pasang,,"Perbaikan nama sesuai Surat Pemprov Kalbar No.100/0604/Pem-B tgl
28 Februari 2017 hal Rekomendasi Perubahan Nama Desa di Kab.
Sanggau dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
61.03.21.2005,,,,,,5 Suruh Tembawang,,
,,,,Belitang,,,,"Menjadi wil. Kab. Sekadau, UU No. 34 /2003."
,,,,,,,,
