NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,92.10.13,13 Aifat Timur Jauh,,,,,,7,,,"Pemekaran Kec. Aifat Timur Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.14,14 Aifat Timur Selatan,,,,,,6,,,"Pemekaran Kec. Aifat Timur Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.15,15 Ayamaru Selatan,,,,,,10,,,"Pemekaran Kec. Ayamaru Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.16,16 Ayamaru Jaya,,,,,,10,,,"Pemekaran Kec. Ayamaru Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.17,17 Ayamaru Selatan Jaya,,,,,,7,,,"Pemekaran Kec. Ayamaru Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.18,18 Ayamaru Timur Selatan,,,,,,7,,,"Pemekaran Kec. Ayamaru Utara Perda No. 3/2012 Tentang
Pembentukan Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.19,19 Ayamaru Utara Timur,,,,,,7,,,"Pemekaran Kec. Ayamaru Utara Perda No. 3/2012 Tentang
Pembentukan Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.20,20 Ayamaru Tengah,,,,,,10,,,"Pemekaran Kec. Ayamaru Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.21,21 Ayamaru Barat,,,,,,8,,,"Pemekaran Kec. Ayamaru Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.22,22 Aitinyo Tengah,,,,,,14,,,"Pemekaran Kec. Aitinyo Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.23,23 Aitinyo Raya,,,,,,10,,,"Pemekaran Kec. Aitonyo Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.10.24,24 Mare Selatan,,,,,,9,,,"Pemekaran Kec. Mare Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
,92.11,11 KAB. MANOKWARI SELATAN,Ransiki,,,6,0,57,1.837,37.423,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.11.01,1 Ransiki,,,,,,13,,,UU. No. 23 Tahun 2012
,92.11.02,2 Oransbari,,,,,,14,,,UU. No. 23 Tahun 2012
,92.11.03,3 Neney,,,,,,7,,,UU. No. 23 Tahun 2012
,92.11.04,4 Dataran Isim,,,,,,12,,,UU. No. 23 Tahun 2012
,92.11.05,5 Momi Waren,,,,,,7,,,UU. No. 23 Tahun 2012
,92.11.06,6 Tahota,,,,,,4,,,UU. No. 23 Tahun 2012
,92.12,12 KAB. PEGUNUNGAN ARFAK,Anggi,,,10,0,166,3.299,39.472,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.12.01,1 Anggi,,,,,,13,,,Semula wil Kab. Manokwari UU No. 24 Tahun 2012
,92.12.02,2 Anggi Gida,,,,,,8,,,Semula wil Kab. Manokwari UU No. 24 Tahun 2012
,92.12.03,3 Membey,,,,,,6,,,Semula wil Kab. Manokwari UU No. 24 Tahun 2012
