Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
36.01,KAB. PANDEGLANG,51,,
36.01.40001,Pulau Badul,,"06°42'27.44"" S 105°30'10.49"" T",TBP
36.01.40002,Pulau Batu Acak,,"06°41'17.18"" S 105°10'42.00"" T",TBP
36.01.40003,Pulau Batu Baris,,"06°40'39.58"" S 105°10'53.35"" T",TBP
36.01.40004,Pulau Batu Belah Satu,,"06°41'18.43"" S 105°10'40.94"" T",TBP
36.01.40005,Pulau Batu Belah Dua,,"06°41'18.06"" S 105°10'41.10"" T",TBP
36.01.40006,Pulau Batu Kuya,,"06°40'48.67"" S 105°10'43.96"" T",TBP
36.01.40007,Pulau Batu Luhur,,"06°41'13.54"" S 105°10'58.72"" T",TBP
36.01.40008,Pulau Batu Panjang,,"06°41'07.90"" S 105°10'56.12"" T",TBP
36.01.40009,Pulau Batuasin,,"06°32'15.25"" S 105°11'07.17"" T",TBP
36.01.40010,Pulau Batuputih,,"06°40'03.98"" S 105°11'47.86"" T",TBP
36.01.40011,Pulau Batuqur'An,,"06°35'03.19"" S 105°07'33.85"" T",TBP
36.01.40012,Pulau Boboko,,"06°46'18.96"" S 105°26'09.58"" T",TBP
36.01.40013,Pulau Deli,,"07°00'22.96"" S 105°32'42.58"" T",TBP (PPKT)
36.01.40014,Pulau Guhakolak,,"06°50'18.14"" S 105°14'21.73"" T",TBP (PPKT)
36.01.40015,Pulau Handeuleum,,"06°45'05.96"" S 105°25'19.58"" T",TBP
36.01.40016,Pulau Handeuleum Tengah,,"06°45'19.96"" S 105°25'54.58"" T",TBP
36.01.40017,Pulau Kabuyutan,,"06°47'38.66"" S 105°13'39.01"" T",TBP
36.01.40018,Pulau Kalong,,"06°45'43.31"" S 105°25'21.61"" T",TBP
36.01.40019,Pulau Karangcikaret,,"06°47'13.81"" S 105°13'49.08"" T",TBP
36.01.40020,Pulau Karanggundul,,"06°47'31.89"" S 105°13'57.91"" T",TBP
36.01.40021,Pulau Karangluhur,,"06°47'20.13"" S 105°13'49.36"" T",TBP
36.01.40022,Pulau Karangpanaitandarat,,"06°40'49.58"" S 105°11'01.35"" T",TBP
36.01.40023,Pulau Karangpanaitanlaut,,"06°40'51.51"" S 105°11'02.85"" T",TBP
36.01.40024,Pulau Karangpendek,,"06°47'21.55"" S 105°13'48.79"" T",TBP
36.01.40025,Pulau Karangbidur,,"06°48'07.01"" S 105°14'08.36"" T",TBP
36.01.40026,Pulau Karangcareuh,,"06°44'44.53"" S 105°13'28.11"" T",TBP
36.01.40027,Pulau Karangcikalapa Beureum,,"06°47'28.00"" S 105°13'48.13"" T",TBP
36.01.40028,Pulau Karangcopong Besar,,"06°43'31.66"" S 105°14'49.32"" T",TBP
36.01.40029,Pulau Karangcopong Kecil,,"06°43'34.96"" S 105°14'47.47"" T",TBP
36.01.40030,Pulau Karangeurih,,"06°47'23.01"" S 105°13'43.15"" T",TBP
36.01.40031,Pulau Karangewoh,,"06°45'05.41"" S 105°12'30.75"" T",TBP
36.01.40032,Pulau Karanggunungpayung,,"06°50'47.65"" S 105°15'58.62"" T",TBP
36.01.40033,Pulau Karangjajar,,"06°40'54.88"" S 105°10'45.52"" T",TBP
36.01.40034,Pulau Karangpabayang,,"06°51'14.96"" S 105°15'45.58"" T",TBP (PPKT)
36.01.40035,Pulau Karangtikukur,,"06°44'39.93"" S 105°12'45.56"" T",TBP
36.01.40036,Pulau Karangtikukur Kecil,,"06°44'38.97"" S 105°12'41.34"" T",TBP
