Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
12.18.40001,Pulau Berhala,,"03°46'23.99"" U 099°29'57.99"" T",BP (PPKT)
12.18.40002,Pulau Sokongsiembang,,"03°46'52.74"" U 099°29'29.10"" T",TBP
12.19,KAB. BATU BARA,2,,
12.19.40001,Pulau Pandang,,"03°25'14.00"" U 099°45'28.00"" T",TBP
12.19.40002,Pulau Salahnama,,"03°20'30.00"" U 099°43'22.00"" T",TBP
12.23,KAB. LABUHANBATU UTARA,2,,
12.23.40001,Pulau Boting Tongah,,"02°45'09.00"" U 100°01'45.50"" T",
12.23.40002,Pulau Tuahmeng,,"02°45'51.74"" U 100°01'41.54"" T",
12.24,KAB. NIAS UTARA,19,,
12.24.40001,Pulau Alifa,,"01°27'16.76"" U 097°15'15.09"" T",TBP
12.24.40002,Pulau Ganeu,,"01°24'17.90"" U 097°12'09.81"" T",TBP
12.24.40003,Pulau Git,,"01°25'01.93"" U 097°13'36.23"" T",TBP
12.24.40004,Pulau Goso,,"01°25'39.42"" U 097°04'33.34"" T",TBP
12.24.40005,Pulau Gosobaohi,,"01°25'31.65"" U 097°10'12.85"" T",TBP
12.24.40006,Pulau Gosoene,,"01°25'46.43"" U 097°15'29.78"" T",TBP
12.24.40007,Pulau Gosolahewa,,"01°25'05.99"" U 097°10'28.99"" T",TBP
12.24.40008,Pulau Gosouma,,"01°27'49.02"" U 097°12'03.99"" T",TBP
12.24.40009,Pulau Kao,,"01°25'22.00"" U 097°15'56.00"" T",TBP
12.24.40010,Pulau Lafau,,"01°25'21.00"" U 097°13'05.99"" T",TBP
12.24.40011,Pulau Makora,,"01°26'26.00"" U 097°13'50.00"" T",TBP
12.24.40012,Pulau Mao,,"01°24'58.00"" U 097°13'54.00"" T",TBP
12.24.40013,Pulau Mause,,"01°21'23.00"" U 097°06'20.00"" T",TBP
12.24.40014,Pulau Sarangbaung,,"01°41'57.99"" U 097°26'44.00"" T",BP
12.24.40015,Pulau Senau,,"01°27'38.99"" U 097°14'44.99"" T",TBP
12.24.40016,Pulau Sideide,,"01°27'52.52"" U 097°12'36.38"" T",TBP
12.24.40017,Pulau Taliwa'A,,"01°25'41.89"" U 097°14'35.82"" T",TBP
12.24.40018,Pulau Uma,,"01°15'15.62"" U 097°14'05.60"" T",TBP
12.24.40019,Pulau Wunga,,"01°13'39.00"" U 097°05'11.00"" T",BP (PPKT)
12.25,KAB. NIAS BARAT,11,,
12.25.40001,Pulau Asu,,"00°54'19.06"" U 097°16'31.75"" T",TBP
12.25.40002,Pulau Bawa,,"00°49'31.80"" U 097°20'54.97"" T",BP
12.25.40003,Pulau Bogi,,"00°51'15.00"" U 097°22'27.99"" T",BP
12.25.40004,Pulau Fari'I,,"00°53'03.99"" U 097°32'37.00"" T",TBP
12.25.40005,Pulau Hamutala,,"00°50'21.99"" U 097°22'46.99"" T",TBP
12.25.40006,Pulau Heruwanga,,"00°52'00.00"" U 097°17'12.00"" T",TBP
12.25.40007,Pulau Hinako,,"00°52'04.00"" U 097°20'35.99"" T",BP
12.25.40008,Pulau Imana,,"00°51'07.99"" U 097°19'14.00"" T",BP
12.25.40009,Pulau Langu,,"00°52'46.99"" U 097°22'21.00"" T",TBP
12.25.40010,Pulau Lawandra,,"00°55'12.00"" U 097°25'50.99"" T",TBP
12.25.40011,Pulau Siite,,"00°55'59.45"" U 097°25'41.51"" T",TBP
