NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17","74.01
74.02
74.03
74.04
74.05
74.06
74.07
74.08
74.09
74.10
74.11
74.12
74.13
74.14
74.15
74.71
74.72","KAB. KOLAKA
KAB. KONAWE
KAB. MUNA
KAB. BUTON
KAB. KONAWE SELATAN
KAB. BOMBANA
KAB. WAKATOBI
KAB. KOLAKA UTARA
KAB. KONAWE UTARA
KAB. BUTON UTARA
KAB. KOLAKA TIMUR
KAB. KONAWE KEPULAUAN
KAB. MUNA BARAT
KAB. BUTON TENGAH
KAB. BUTON SELATAN
KOTA KENDARI
KOTA BAU BAU","12
28
22
7
25
22
8
15
13
6
12
7
11
7
7
11
8","35
58
26
12
15
22
26
6
11
12
16
7
5
10
10
65
43","100
291
124
83
336
121
75
127
159
78
117
89
81
67
60
0
0","2.958,921
5.351,853
1.858,095
1.669,329
4.237,741
3.293,966
450,456
2.932,252
4.219,812
1.755,829
3.992,531
705,711
818,702
836,956
517,631
265,791
294,137","240.749
260.765
225.283
119.650
315.659
158.830
115.717
135.928
74.105
70.337
125.311
40.427
85.118
119.418
100.140
344.281
159.073","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PGP sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya).
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
UU No. 13/2007.
Luas Wilayah Indikatif, PGP sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
UU No. 14/2007.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas wilayah berdasarkan UU No. 8 Tahun 2013.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas wilayah berdasarkan UU No. 13 Tahun 2013.
Luas Wilayah Definitif Tidak Ada Batas Darat sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022
Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas wilayah berdasarkan UU No. 15 Tahun 2014.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022."
