K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
76.01.05.2004,,,,,,4 Bulu Bonggu,,Semula wil. Kec. Sarudu
76.01.05.2005,,,,,,5 Sarasa,,Semula wil. Kec. Sarudu
76.01.06,,,,6Duripoku,-,4,,Perda No. 9/2007
76.01.06.2001,,,,,,1 Tammarunang,,Semula wil. Kec. Sarudu
76.01.06.2002,,,,,,2 Saptanajaya,,Semula wil. Kec. Sarudu
76.01.06.2003,,,,,,3 Taranggi,,Semula wil. Kec. Sarudu
76.01.06.2004,,,,,,4 Sipakainga,,Semula wil. Kec. Sarudu
76.01.07,,,,7Bulu Taba,-,7,,Perda No. 9/2007
76.01.07.2001,,,,,,1 Lilimori,,Semula wil. Kec. Baras
76.01.07.2002,,,,,,2 Karave,,Semula wil. Kec. Baras
76.01.07.2003,,,,,,3 Bukit Harapan,,Semulawil. Kec. Baras
76.01.07.2004,,,,,,4 Kastabuana,,Semula wil. Kec. Baras
76.01.07.2005,,,,,,5 Sumber Sari,,Semula wil. Kec. Baras
76.01.07.2006,,,,,,6 Lelejae,,Semula wil. Kec. Baras
76.01.07.2007,,,,,,7 Ompi,,Semula wil. Kec. Baras
76.01.08,,,,8Tikke Raya,-,5,,Perda No. 9/2007
76.01.08.2001,,,,,,1 Tikke,,Semula wil. Kec.Pasangkayu
76.01.08.2002,,,,,,2 Makmur Jaya,,Semula wil. Kec. Pasangkayu
76.01.08.2003,,,,,,3 Lariang,,Semula wil. Kec. Pasangkayu
76.01.08.2004,,,,,,4 Pajalele,,Semula wil. Kec. Pasangkayu
76.01.08.2005,,,,,,5 Jengeng Raya,,Semula wil. Kec. Pasangkayu
76.01.09,,,,9Pedongga,-,4,,Perda No. 9/2007
76.01.09.2001,,,,,,1 Malei,,Semula wil. Kec.Pasangkayu
76.01.09.2002,,,,,,2 Pedanda,,Semula wil. Kec. Pasangkayu
76.01.09.2003,,,,,,3 Batu Oge,,Semula wil. Kec. Pasangkayu
76.01.09.2004,,,,,,4 Martasari,,Semula wil. Kec. Pasangkayu
76.01.10,,,,10Bambaira,-,4,,Perda No. 9/2007
76.01.10.2001,,,,,,1 Bambaira,,Semula wil. Kec. Bambalamotu
76.01.10.2002,,,,,,2 Kasoloang,,Semula wil. Kec. Bambalamotu
76.01.10.2003,,,,,,3 Tampaure,,Semula wil. Kec. Bambalamotu
76.01.10.2004,,,,,,4 Kaluku Nangka,,Semula wil. Kec. Bambalamotu
76.01.11,,,,11Sarjo,-,4,,Perda No. 9/2007
76.01.11.2001,,,,,,1 Sarjo,,Semula wil. Kec. Bambalamotu
76.01.11.2002,,,,,,2 Maponu,,Semula wil. Kec. Bambalamotu
76.01.11.2003,,,,,,3 Letawa,,Semula wil. Kec. Bambalamotu
76.01.11.2004,,,,,,4 Sarude,,Semula wil. Kec. Bambalamotu
76.01.12,,,,12Lariang,-,7,,Perda No. 4/2008
76.01.12.2001,,,,,,1 Parabu,,Semula wil. Kec. Baras
76.01.12.2002,,,,,,2 Kenangan,,Semula wil. Kec. Baras
76.01.12.2003,,,,,,3 Bajawali,,Semula wil. Kec. Baras
