K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.06.16.2005,,,,,,5 Lamkleng,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2006,,,,,,"6 Ie Alang
Lamkreumeuh",,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2007,,,,,,7 Ie Alang Lamghui,,
11.06.16.2008,,,,,,8 Ie Alang Mesjid,,
11.06.16.2009,,,,,,9 Ie Alang Dayah,,
11.06.16.2010,,,,,,10 Lamtui,,
11.06.16.2011,,,,,,11 Barih Lhok,,
11.06.16.2012,,,,,,12 Bueng Simek,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2013,,,,,,13 Banda Safa,,
11.06.16.2014,,,,,,14 Bithak,,
11.06.16.2015,,,,,,15 Lambeugak,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2016,,,,,,16 Pakuk,,
11.06.16.2017,,,,,,17 Lamsie,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2018,,,,,,18 Sigapang,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2019,,,,,,19 Tutui,,
11.06.16.2020,,,,,,20 Pasar Lampaku,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2021,,,,,,21 Maheng,,
11.06.16.2022,,,,,,22 Leupung Bruek,,
11.06.16.2023,,,,,,23 Keumireu,,
11.06.16.2024,,,,,,24 Lamleuot,,
11.06.16.2025,,,,,,25 Leupung Balue,,
11.06.16.2026,,,,,,26 Bak Sukon,,
11.06.16.2027,,,,,,27 Cot Bayu,,
11.06.16.2028,,,,,,28 Glee Jai,,
11.06.16.2029,,,,,,29 Keuruweung Blang,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2030,,,,,,30 Keuruweung Krueng,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.16.2031,,,,,,31 Siron Blang,,
,,,,,,,,
