NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"19
20
21
22
23
24","73.22
73.24
73.26
73.71
73.72
73.73","KAB. LUWU UTARA
KAB. LUWU TIMUR
KAB. TORAJA UTARA
KOTA MAKASSAR
KOTA PAREPARE
KOTA PALOPO","15
11
21
15
4
9","7
3
40
153
22
48","166
125
111
0
0
0","7.422,418
6.745,921
1.289,134
176,852
89,670
273,235","330.600
306.082
255.743
1.463.809
155.380
183.427","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No. 28/2008,
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Perbaikan nama Kota Pare Pare menjadi Parepare, sesuai:
UU No. 4 Tahun 2022; dan
Surat Sekda Kota Parepare No. 100/758/Pem tgl 5 September 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022."
,,JUMLAH,313,793,2.266,"45.330,550",9.255.930,
