K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
73,SULAWESI SELATAN,,,,,,,
73.72,KOTA PAREPARE,,,4,22,0,"89,670","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Perbaikan nama Kota Pare Pare menjadi Parepare, sesuai:
UU No. 4 Tahun 2022; dan
Surat Sekda Kota Parepare No. 100/758/Pem tgl 5 September 2022."
73.72.01,,,,1Bacukiki,4,-,,
,,,,,Kampung Baru,,,"Menjadi wil. Kec. Becukiki Barat, Perda No. 4/2007"
,,,,,Cappa Galung,,,"Menjadi wil. Kec. Becukiki Barat, Perda No. 4/2007"
,,,,,Lumpue,,,"Menjadi wil. Kec. Becukiki Barat, Perda No. 4/2007"
73.72.01.1004,,,,,1Lompoe,,,
73.72.01.1005,,,,,2Watang Bacukiki,,,"Perubahan nama kel. semula WT. Bacukiki menjadi Watang Bacukiki,
sesuai:
Perda No. 5 Tahun 2007; dan
Surat Sekda Kota Parepare No. 100/758/Pem tgl 5 September 2022."
,,,,,Tiro Sompe,,,"Menjadi wil. Kec. Becukiki Barat, Perda No. 4/2007"
,,,,,Sumpang Minangae,,,"Menjadi wil. Kec. Becukiki Barat, Perda No. 4/2007"
,,,,,Bumi Harapan,,,"Menjadi wil. Kec. Becukiki Barat, Perda No. 4/2007"
73.72.01.1009,,,,,3Lemoe,,,
73.72.01.1010,,,,,4Galung Maloang,,,Perda No. 5/2007
73.72.02,,,,2Ujung,5,-,,
73.72.02.1001,,,,,1Labukkang,,,
73.72.02.1002,,,,,2Ujung Sabbang,,,
73.72.02.1003,,,,,3Ujung Bulu,,,
73.72.02.1004,,,,,4Lapadde,,,
73.72.02.1005,,,,,5Mallusetasi,,,
73.72.03,,,,3Soreang,7,-,,
73.72.03.1001,,,,,1Lakessi,,,
73.72.03.1002,,,,,2Ujung Baru,,,
73.72.03.1003,,,,,3Watang Soreang,,,
73.72.03.1004,,,,,4Kampung Pisang,,,
73.72.03.1005,,,,,5Ujung Lare,,,
73.72.03.1006,,,,,6Bukit Indah,,,
73.72.03.1007,,,,,7Bukit Harapan,,,
73.72.04,,,,4Bacukiki Barat,6,-,,Perda No. 4/2007
73.72.04.1001,,,,,1Kampung Baru,,,Semula wil. Kec. Becukiki
73.72.04.1002,,,,,2Cappa Galung,,,Semula wil. Kec. Becukiki
73.72.04.1003,,,,,3Lumpue,,,Semula wil. Kec. Becukiki
73.72.04.1004,,,,,4Tiro Sompe,,,Semula wil. Kec. Becukiki
,,,,,,,,
