K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.02.09.2005,,,,,,5 Maha Singkil,,
11.02.09.2006,,,,,,6 Tenembak Bintang,,
11.02.09.2007,,,,,,7 Kute Lingga,,
11.02.09.2008,,,,,,8 Rikit Bur,,
,,,,,,Kute Buluh,,
11.02.09.2010,,,,,,9 Kerukunan,,
11.02.09.2011,,,,,,10 Lawe Dua,,
11.02.09.2012,,,,,,11 Rema,,
11.02.09.2013,,,,,,12 Bambel Baru,,
11.02.09.2014,,,,,,13 Pejuang,,
11.02.09.2015,,,,,,14 Darussalam,,
11.02.09.2016,,,,,,15 Amaliah,,
11.02.09.2017,,,,,,16 Sebudi Jaya,,
11.02.09.2018,,,,,,17 Gumpang,,
11.02.09.2019,,,,,,18 Kute Gekhat,,Qanun No. 31/2006
11.02.09.2020,,,,,,19 Paye Khambung,,Qanun No. 31/2006
11.02.09.2021,,,,,,20 Mbak Sako,,Qanun No. 31/2006
11.02.09.2022,,,,,,21 Darul Imami,,Qanun No. 31/2006
11.02.09.2023,,,,,,22 Rikit Bur II,,"Qanun No. 31/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.09.2024,,,,,,23 Kute Empat Lima,,Qanun No. 31/2006
11.02.10,,,,10Semadam,-,19,,
11.02.10.2001,,,,,,1 Simpang Semadam,,
11.02.10.2002,,,,,,2 Semadam Awal,,
11.02.10.2003,,,,,,3 Semadam Asal,,
11.02.10.2004,,,,,,"4 Lawe Kinga
Gabungan",,
11.02.10.2005,,,,,,"5 Lawe Kinga Tebing
Tinggi",,
11.02.10.2006,,,,,,6 Kebun Sere,,
11.02.10.2007,,,,,,7 Lawe Beringin Horas,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.10.2008,,,,,,8 Lawe. Berigin Gayo,,
11.02.10.2009,,,,,,9 Suka Makmur,,
11.02.10.2010,,,,,,10 Pasar Puntung,,
11.02.10.2011,,,,,,11 Titi Pasir,,
11.02.10.2012,,,,,,12 Lawe Petanduk I,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.10.2013,,,,,,13 Ngkeran Alur Buluh,,
,,,,,,,,
