K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
73.06.13.2008,,,,,,8 Borongpala'la,,"Koreksi nama 'Borongpa'la'la' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
73.06.14,,,,14Manuju,-,7,,
73.06.14.2001,,,,,,1 Manuju,,Semula wil. Kec. Parangloe
73.06.14.2002,,,,,,2 Pattallikang,,Semula wil. Kec. Parangloe
73.06.14.2003,,,,,,3 Tamalatea,,Semula wil. Kec. Parangloe
73.06.14.2004,,,,,,4 Moncongloe,,Semula wil. Kec. Parangloe
73.06.14.2005,,,,,,5 Bilalang,,Koreksi nama 'Billang' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli 2019
73.06.14.2006,,,,,,6 Tassese,,
73.06.14.2007,,,,,,7 Tana Karaeng,,"Koreksi nama 'Tanakkaraeng' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
73.06.15,,,,15Bontolempangang,-,8,,
73.06.15.2001,,,,,,1 Julumate'ne,,"Semula wil. Kec. Bunguya, Koreksi nama 'Julumatene' Srt Ditjen BPD
No 140/5118/BPD tgl 18 Juli 2019"
73.06.15.2002,,,,,,2 Bontolempangang,,Semula wil. Kec. Bunguya
73.06.15.2003,,,,,,3 Lassa-Lassa,,"Semula wil. Kec. Bunguya, Koreksi nama 'Lassa Lassa' Srt Ditjen BPD
No 140/5118/BPD tgl 18 Juli 2019"
73.06.15.2004,,,,,,4 Bontoloe,,Semula wil. Kec. Bunguya
73.06.15.2005,,,,,,5 Pa'ladingang,,"Semula wil. Kec. Bunguya, Koreksi nama 'Paladingang' Srt Ditjen BPD
No 140/5118/BPD tgl 18 Juli 2019"
73.06.15.2006,,,,,,6 Paranglompoa,,
73.06.15.2007,,,,,,7 Bontotangnga,,
73.06.15.2008,,,,,,8 Ulujangang,,
73.06.16,,,,16Bontonompo Selatan,1,8,,
73.06.16.2001,,,,,,1 Sengka,,Semula wil. Kec. Bontonompo
73.06.16.2002,,,,,,2 Tanrara,,Semula wil. Kec. Bontonompo
73.06.16.2003,,,,,,3 Tindang,,Semula wil. Kec. Bontonompo
73.06.16.2004,,,,,,4 Pa'bundukang,,"Semula wil. Kec. Bontonompo, Koreksi nama 'Pabundukang' Srt Ditjen
BPD No 140/5118/BPD tgl 18 Juli 2019"
73.06.16.2005,,,,,,5 Bontosunggu,,Semula wil. Kec. Bontonompo
73.06.16.2006,,,,,,6 Salajangki,,"Semula wil. Kec. Bontonompo, Koreksi nama 'Salajengki' Srt Ditjen BPD
No 140/5118/BPD tgl 18 Juli 2019"
73.06.16.2007,,,,,,7 Salajo,,Semula wil. Kec. Bontonompo
73.06.16.2008,,,,,,8 Jipang,,Semula wil. Kec. Bontonompo
73.06.16.1009,,,,,1Bontoramba,,,
73.06.17,,,,17Parigi,-,5,,
73.06.17.2001,,,,,,1 Majannang,,Semula wil. Kec. Tinggimoncong
73.06.17.2002,,,,,,2 Jonjo,,Semula wil. Kec. Tinggimoncong
73.06.17.2003,,,,,,3 Manimbahoi,,Semula wil. Kec. Tinggimoncong
73.06.17.2004,,,,,,4 Sicini,,Semula wil. Kec. Tinggimoncong
73.06.17.2005,,,,,,5 Bilanrengi,,Semula wil. Kec. Tinggimoncong
73.06.18,,,,18Bajeng Barat,-,7,,
,,,,,,,,
