K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
36,BANTEN,,,,,,,
36.73,KOTA SERANG,,,6,67,0,"265,787","UU No. 32/2007 - PP. 32/2012 Pemindahan Ibukota.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
36.73.01,,,,1Serang,12,-,,Semula wil Kab. Serang
36.73.01.1001,,,,,1Serang,,,
36.73.01.1002,,,,,2Cipare,,,
36.73.01.1003,,,,,3Sumur Pecung,,,
36.73.01.1004,,,,,4Kota Baru,,,
36.73.01.1005,,,,,5Lopang,,,
36.73.01.1006,,,,,6Cimuncang,,,
36.73.01.1007,,,,,7Unyur,,,
36.73.01.1008,,,,,8Sukawana,,,
36.73.01.1009,,,,,9Lontarbaru,,,
36.73.01.1010,,,,,10Kaligandu,,,Perda No. 11/2008
36.73.01.1011,,,,,11Terondol,,,
36.73.01.1012,,,,,12Kagungan,,,
36.73.02,,,,2Kasemen,10,-,,Semula wil Kab. Serang
36.73.02.1001,,,,,1Kasemen,,,Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.02.1002,,,,,2Mesjid Priyayi,,,Perubahan Status Desa menjadi Kelurahan Perda No 5/2013
36.73.02.1003,,,,,3Terumbu,,,"Perubahan Status desa menjadi kelurahan, Perda No 5/2013"
36.73.02.1004,,,,,4Warung Jaud,,,Perubahan status desa menjadi Kel. Perda No. 10/2011
,,,,,,Pulo Panjang,,
36.73.02.1006,,,,,5Bendung,,,Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.02.1007,,,,,6Banten,,,Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.02.1008,,,,,7Sawah Luhur,,,Perubahan status desa menjadi Kel. Perda No. 10/2011
36.73.02.1009,,,,,8Kilasah,,,Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.02.1010,,,,,9Kasunyatan,,,Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.02.1011,,,,,10Margaluyu,,,Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03,,,,3Walantaka,14,-,,Semula wil Kab. Serang
36.73.03.1001,,,,,1Walantaka,,,Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1002,,,,,2Cigoong,,,Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1003,,,,,3Nyapah,,,Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1004,,,,,4Pangampelan,,,Perubahan status desa menjadi Kel. Perda No. 10/2011
,,,,,,Beberan,,
36.73.03.1006,,,,,5Kiara,,,Perubahan status desa menjadi kelurahan Perda No 8/2012
36.73.03.1007,,,,,6Pager Agung,,,Perubahan status desa menjadi kelurahan Perda No 5/2013
36.73.03.1008,,,,,7Kalodran,,,Perubahan status desa menjadi Kel. Perda No. 10/2011
,,,,,,,,
