NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,16.71.09,9 Kemuning,,,,,6,,,,
,16.71.10,10 Kalidoni,,,,,5,,,,
,16.71.11,11 Bukitkecil,,,,,6,,,,
,16.71.12,12 Gandus,,,,,5,,,,
,16.71.13,13 Kertapati,,,,,6,,,,
,16.71.14,14 Plaju,,,,,7,,,,
,16.71.15,15 Alang-alang Lebar,,,,,4,,,,Perda No. 20/2007
,16.71.16,16 Sematangborang,,,,,4,,,,Perda No. 20/2007
,16.71.17,17 Jakabaring,,,,,5,,,,"Pemekaran sebagian wil Kec. Seberang Ulu I, Peda No. 5 Tahun 2017"
,16.71.18,18 Ilir Timur Tiga,,,,,6,,,,"Pemekaran sebagian wil Kec. Ilir Timur II, Peda No. 5 Tahun 2017"
,16.72,15 KOTA PAGAR ALAM,Pagar Alam,,,5,35,0,626,147.949,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,16.72.01,1 Pagar Alam Utara,,,,,10,,,,
,16.72.02,2 Pagar Alam Selatan,,,,,8,,,,
,16.72.03,3 Dempo Utara,,,,,7,,,,
,16.72.04,4 Dempo Selatan,,,,,5,,,,
,16.72.05,5 Dempo Tengah,,,,,5,,,,
,16.73,16 KOTA LUBUK LINGGAU,Lubuk Linggau,,,8,72,0,368,234.830,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,16.73.01,1 Lubuk Linggau Timur I,,,,,8,,,,"Perubahan nama Kec. Lubuk Linggau Timur, Perda No.18/2004, Perda
No.7/2005"
,16.73.02,2 Lubuk Linggau Barat I,,,,,11,,,,"Perubahan nama Kec. Lubuk Linggau Barat, Perda No.18/2004, Perda
No.7/2005"
,16.73.03,3 Lubuk Linggau Selatan I,,,,,7,,,,"Perubahan nama Kec. Lubuk Linggau Selatan, Perda No.18/2004, Perda
No.7/2005"
,16.73.04,4 Lubuk Linggau Utara I,,,,,10,,,,"Perubahan nama Kec. Lubuk Linggau Utara, Perda No.18/2004, Perda
No.7/2005"
,16.73.05,5 Lubuk Linggau Timur II,,,,,9,,,,Perda No.18/2004; Perda No.7/2005
,16.73.06,6 Lubuk Linggau Barat II,,,,,8,,,,Perda No.18/2004; Perda No.7/2005
,16.73.07,7 Lubuk Linggau Selatan II,,,,,9,,,,Perda No.18/2004; Perda No.7/2005
,16.73.08,8 Lubuk Linggau Utara II,,,,,10,,,,Perda No.18/2004; Perda No.7/2005
,16.74,17 KOTA PRABUMULIH,Prabumulih,,,6,33,12,447,200.869,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,16.74.01,1 Prabumulih Barat,,,,,6,1,,,
,16.74.02,2 Prabumulih Timur,,,,,13,,,,
,16.74.03,3 Cambai,,,,,3,2,,,
