NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,51,BALI,1,
1,51.01,KAB. JEMBRANA,2,
2,51.03,KAB. BADUNG,1,
3,51.05,KAB. KLUNGKUNG,21,
4,51.07,KAB. KARANGASEM,6,
5,51.08,KAB. BULELENG,2,
6,51.71,KOTA DENPASAR,1,
,,TOTAL,34,
