K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
18,LAMPUNG,,,,,,,
18.05,KAB. TULANG BAWANG,,,15,4,147,"3.116,062","Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,,,Mesuji,,,,"Menjadi wil. Kab. Mesuji, UU No. 49/2008"
,,,,,,Wiralaga I,,
,,,,,,Wiralaga II,,
,,,,,,Sungai Badak,,
,,,,,,Nipah Kuning,,
,,,,,,Talang Batu,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Sungai Cambai,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Tanjung Mas Makmur,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Sido Mulyo,,
,,,,,,Margo Jadi,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Tanjung Menang,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Eka Mulya,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Wonosari,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Dwi Karya Mustika,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Pangkal Mas Jaya,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Pangkal Mas Mulya,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Tanjung Mas Mulya,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Muara Mas,,"Menjadi wil. Kec. Mesuji Timur, Perda No. 7/2005"
,,,,,,Tirtalaga,,
,,,,,,Tanjung Seraya,,
,,,,,,Sumber Makmur,,
,,,,,,Mulya Sari,,
18.05.02,,,,1Menggala,4,5,,
18.05.02.2001,,,,,,1 Bujung Tenuk,,
18.05.02.2002,,,,,,2 Ujung Gunung Ilir,,
,,,,,,Lingai,,"Menjadi wil. Kec. Menggala Timur, Perda No. 4/2009"
,,,,,,Lebuh Dalam,,"Menjadi wil. Kec. Menggala Timur, Perda No. 4/2009"
,,,,,,Kibang Pacing,,"Menjadi wil. Kec. Menggala Timur, Perda No. 4/2009"
,,,,,,Menggala,,"Menjadi wil. Kec. Menggala Timur, Perda No. 4/2009"
18.05.02.2007,,,,,,3 Astra Ksetra,,
18.05.02.1008,,,,,1Menggala Selatan,,,
18.05.02.1009,,,,,2Ujung Gunung,,,"Perubahan nama kel. semula Ujung Gunung Ilir menjadi Ujung Gunung
sesuai Perda No. 22 Tahun 2001."
18.05.02.1010,,,,,3Menggala Tengah,,,
18.05.02.1011,,,,,4Menggala Kota,,,
,,,,,,,,
