K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
21,KEPULAUAN RIAU,,,,,,,
21.72,KOTA TANJUNG PINANG,,,4,18,0,"150,373","Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
21.72.01,,,,1Tanjung Pinang Barat,4,-,,
21.72.01.1001,,,,,1Tanjung Pinang Barat,,,
21.72.01.1002,,,,,2Kemboja,,,
21.72.01.1003,,,,,3Kampung Baru,,,
21.72.01.1004,,,,,4Bukit Cermin,,,
21.72.02,,,,2Tanjung Pinang Timur,5,-,,
21.72.02.1001,,,,,1Melayu Kota Piring,,,
21.72.02.1002,,,,,2Kampung Bulang,,,
21.72.02.1003,,,,,3Air Raja,,,
21.72.02.1004,,,,,4Batu IX,,,
21.72.02.1005,,,,,5Pinang Kencana,,,
21.72.03,,,,3Tanjung Pinang Kota,4,-,,
21.72.03.1001,,,,,1Tanjung Pinang Kota,,,
,,,,,Kemboja,,,
21.72.03.1003,,,,,2Senggarang,,,
21.72.03.1004,,,,,3Penyengat,,,
21.72.03.1005,,,,,4Kampung Bugis,,,
21.72.04,,,,4Bukit Bestari,5,-,,
21.72.04.1001,,,,,1Tanjung Pinang Timur,,,
21.72.04.1002,,,,,2Dompak,,,
21.72.04.1003,,,,,3Tanjung Ayun Sakti,,,
21.72.04.1004,,,,,4Sei Jang,,,
21.72.04.1005,,,,,5Tanjung Unggat,,,
