Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
13.09.40019,Pulau Bukkusimapususika Barek,,"01°59'34.50"" S 099°33'18.48"" T",TBP
13.09.40020,Pulau Bukkusimapususima Piok,,"01°59'34.64"" S 099°33'15.82"" T",TBP
13.09.40021,Pulau Bukkusimapususitka Yaman,,"01°59'31.24"" S 099°33'13.61"" T",TBP
13.09.40022,Pulau Bulak,,"02°33'39.75"" S 100°03'13.52"" T",TBP
13.09.40023,Pulau Gagaija,,"01°41'36.89"" S 099°14'42.20"" T",
13.09.40024,Pulau Ibanlaut,,"02°50'49.99"" S 100°08'43.73"" T",TBP
13.09.40025,Pulau Jujuat,,"01°48'37.00"" S 099°02'44.99"" T",TBP
13.09.40026,Pulau Karaet,,"02°01'54.55"" S 099°37'16.42"" T",
13.09.40027,Pulau Karamajat,,"01°55'04.32"" S 099°18'13.64"" T",BP
13.09.40028,Pulau Kasik,,"03°04'02.89"" S 100°14'43.77"" T",TBP
13.09.40029,Pulau Koroniki,,"01°50'11.66"" S 099°08'45.82"" T",TBP
13.09.40030,Pulau Labatjau,,"03°05'03.99"" S 100°28'08.00"" T",TBP
13.09.40031,Pulau Langgairak,,"01°03'51.35"" S 098°57'24.53"" T",TBP
13.09.40032,Pulau Laplap,,"01°28'09.95"" S 099°10'15.85"" T",TBP
13.09.40033,Pulau Lebuat Sabeu,,"03°07'28.99"" S 100°14'38.00"" T",TBP
13.09.40034,Pulau Lebuat Sigoiso,,"03°07'05.68"" S 100°14'01.89"" T",TBP
13.09.40035,Pulau Libbut,,"01°46'17.13"" S 099°16'02.80"" T",TBP
13.09.40036,Pulau Logui,,"01°43'08.45"" S 099°15'25.07"" T",TBP
13.09.40037,Pulau Lumut,,"02°49'30.00"" S 100°10'25.00"" T",TBP
13.09.40038,Pulau Maguiruk,,"02°50'01.44"" S 100°00'32.67"" T",
13.09.40039,Pulau Mainu,,"01°51'00.65"" S 099°18'42.77"" T",BP
13.09.40040,Pulau Makubbou,,"01°44'49.20"" S 099°16'06.85"" T",
13.09.40041,Pulau Malitau,,"03°12'07.48"" S 100°29'59.54"" T",TBP
13.09.40042,Pulau Maseai,,"01°41'17.97"" S 099°14'25.85"" T",TBP
13.09.40043,Pulau Masingitngit,,"03°07'44.59"" S 100°28'32.39"" T",
13.09.40044,Pulau Masusu,,"02°48'56.48"" S 100°10'04.77"" T",TBP
13.09.40045,Pulau Maturugougou,,"03°11'33.85"" S 100°29'03.51"" T",TBP
13.09.40046,Pulau Niau,,"01°51'50.00"" S 099°05'10.00"" T",BP (PPKT)
13.09.40047,Pulau Nukok,,"02°13'00.99"" S 099°32'26.00"" T",TBP
13.09.40048,Pulau Nyangnyang,,"01°49'22.99"" S 099°16'40.47"" T",BP
13.09.40049,Pulau Pacabla,,"03°12'48.54"" S 100°27'34.66"" T",TBP
13.09.40050,Pulau Pagai Selatan,,"03°00'05.00"" S 100°19'52.00"" T",BP
13.09.40051,Pulau Pagai Utara,,"02°42'41.00"" S 100°05'30.99"" T",BP (PPKT)
13.09.40052,Pulau Pananggalat Sabeu,,"01°54'09.00"" S 099°18'55.12"" T",TBP
13.09.40053,Pulau Pananggalat Sigoiso,,"01°53'47.39"" S 099°18'50.90"" T",TBP
13.09.40054,Pulau Panderai,,"01°38'06.23"" S 099°13'00.73"" T",TBP
13.09.40055,Pulau Panjangsaibi,,"01°21'38.32"" S 099°06'59.65"" T",TBP
13.09.40056,Pulau Pela,,"01°00'58.70"" S 098°57'45.43"" T",TBP
13.09.40057,Pulau Pitoiat Sabeu,,"02°07'50.99"" S 099°31'58.00"" T",TBP
13.09.40058,Pulau Pitoiat Sigoiso,,"02°07'26.00"" S 099°31'26.00"" T",TBP
