NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,63.10.05,5 Kusan Hulu,,,,,,11,,,
,63.10.06,6 Simpang Empat,,,,,2,13,,,Perda No. 9/2005
,63.10.07,7 Karang Bintang,,,,,,12,,,Perda No. 9/2005
,63.10.08,8 Mantewe,,,,,,12,,,Perda No. 9/2005
,63.10.09,9 Angsana,,,,,,9,,,Perda No. 9/2005
,63.10.10,10 Kuranji,,,,,,7,,,Perda No. 9/2005
,63.10.11,11 Kusan Tengah,,,,,,13,,,"Pemekaran sebagian wil. Kec. Kusan Hilir sesuai Perda No. 5/2020 dan
Surat Gub. No. 135.6/1083/PEM/2020 tgl 17 Sept 2020."
,63.10.12,12 Teluk Kepayang,,,,,,10,,,"Pemekaran sebagian wil. Kec. Kusan Hulu sesuai Perda No. 5/2020 dan
Surat Gub. No. 135.6/1083/PEM/2020 tgl 17 Sept 2020."
,63.11,11 KAB. BALANGAN,Paringin,,,8,3,154,1.829,132.643,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,63.11.01,1 Juai,,,,,,21,,,
,63.11.02,2 Halong,,,,,,24,,,
,63.11.03,3 Awayan,,,,,,23,,,
,63.11.04,4 Batu Mandi,,,,,,18,,,
,63.11.05,5 Lampihong,,,,,,27,,,
,63.11.06,6 Paringin,,,,,2,14,,,
,63.11.07,7 Paringin Selatan,,,,,1,15,,,Perda No. 23/2006
,63.11.08,8 Tebing Tinggi,,,,,,12,,,Perda No. 23/2006
,63.71,12 KOTA BANJARMASIN,Banjarmasin,,,5,52,0,98,672.796,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,63.71.01,1 Banjarmasin Selatan,,,,,12,,,,
,63.71.02,2 Banjarmasin Timur,,,,,9,,,,
,63.71.03,3 Banjarmasin Barat,,,,,9,,,,
,63.71.04,4 Banjarmasin Utara,,,,,10,,,,
,63.71.05,5 Banjarmasin Tengah,,,,,12,,,,
,63.72,13 KOTA BANJARBARU,Banjarbaru,,,5,20,0,305,262.719,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,63.72.02,1 Landasan Ulin,,,,,4,,,,
,63.72.03,2 Cempaka,,,,,4,,,,
,63.72.04,3 Banjarbaru Utara,,,,,4,,,,Perda No. 4/2007
,63.72.05,4 Banjarbaru Selatan,,,,,4,,,,Perda No. 4/2007
,63.72.06,5 Liang Anggang,,,,,4,,,,Perda No. 4/2007
