K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,,KELURAHAN,,D E S A,,
51.04.03.2014,,,,,,0,,9 Petak Kaja,,
51.04.03.2015,,,,,,0,,10 Temesi,,
51.04.03.2016,,,,,,0,,11 Sumita,,
51.04.03.2017,,,,,,0,,12 Tegal Tugu,,Perda Kab. Gianyar No. 1 Tahun 2010
51.04.04,,,,4,Tampaksiring,,-,8,,
51.04.04.2001,,,,,,0,,1 Pejeng,,
51.04.04.2002,,,,,,0,,2 Sanding,,
51.04.04.2003,,,,,,0,,3 Tampaksiring,,
51.04.04.2004,,,,,,0,,4 Manukaya,,
51.04.04.2005,,,,,,0,,5 Pejeng Kawan,,
51.04.04.2006,,,,,,0,,6 Pejeng Kaja,,
51.04.04.2007,,,,,,0,,7 Pejeng Kangin,,
51.04.04.2008,,,,,,0,,8 Pejeng Kelod,,
51.04.05,,,,5,Ubud,,1,7,,
51.04.05.2001,,,,,,0,,1 Lodtunduh,,
51.04.05.2002,,,,,,0,,2 Mas,,
51.04.05.2003,,,,,,0,,3 Singakerta,,"Koreksi nama, berdasarkan rekomendasi Ditjen PMD. koreksi nama desa
Rekom Pemdes No145/1820/SET tgl 15 nov 2018 ttg penyampaian hasil
validasi."
,,,,,,,,,,
,,,,,,,,,,
51.04.05.2004,,,,,,0,,4 Kedewatan,,
51.04.05.1005,,,,,,1,Ubud,0,,
51.04.05.2006,,,,,,0,,5 Peliatan,,
51.04.05.2007,,,,,,0,,6 Petulu,,
51.04.05.2008,,,,,,0,,7 Sayan,,
51.04.06,,,,6,Tegallalang,,-,7,,Koreksi nama kec. Surat No. 100/16714/B.Tapem tgl. 15 Des 2016
51.04.06.2001,,,,,,0,,1 Keliki,,
51.04.06.2002,,,,,,0,,2 Tegallalang,,
51.04.06.2003,,,,,,0,,3 Kenderan,,
51.04.06.2004,,,,,,0,,4 Kedisan,,
51.04.06.2005,,,,,,0,,5 Pupuan,,
51.04.06.2006,,,,,,0,,6 Sebatu,,
51.04.06.2007,,,,,,0,,7 Taro,,
51.04.07,,,,7,Payangan,,-,9,,
51.04.07.2001,,,,,,0,,1 Melinggih,,
51.04.07.2002,,,,,,0,,2 Kelusa,,
51.04.07.2003,,,,,,0,,3 Bukian,,
51.04.07.2004,,,,,,0,,4 Puhu,,
51.04.07.2005,,,,,,0,,5 Buahan,,
51.04.07.2006,,,,,,0,,6 Kerta,,
51.04.07.2007,,,,,,0,,7 Melinggih Kelod,,
51.04.07.2008,,,,,,0,,8 Buahan Kaja,,
51.04.07.2009,,,,,,0,,9 Bresela,,
