K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Data Makmur,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
11.06.05.2015,,,,,,13 Lamraya,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.06.05.2016,,,,,,14 Lamme Garot,,
11.06.05.2017,,,,,,15 Weu Bada,,
11.06.05.2018,,,,,,16 Meunasah Tutong,,
11.06.05.2019,,,,,,17 Empee Tanong,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.06.05.2020,,,,,,18 Bak Cirih,,
11.06.05.2021,,,,,,19 Warabo,,
11.06.05.2022,,,,,,20 Teubang Phui Mesjid,,
11.06.05.2023,,,,,,21 Teubang Phui Baro,,
11.06.05.2024,,,,,,22 Bira Cot,,
11.06.05.2025,,,,,,23 Bira Lhok,,
11.06.05.2026,,,,,,24 Bung Tujoh,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.06.05.2027,,,,,,25 Peurumping,,
11.06.05.2028,,,,,,26 Atong,,
11.06.05.2029,,,,,,27 Reudeup,,
,,,,,,Cot Hoho,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Nambak,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Meulangeun,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Rumpun,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Jambo,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Bung Pageu,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Sayun,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Teupin Batee,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Leuot,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Bagie,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Empee Bata,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
,,,,,,Cot Mancang,,Menjadi wil Kec. Blang Bintang Qanun No. 3/2006
11.06.05.2042,,,,,,28 Seubam Lhok,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.06.05.2043,,,,,,29 Seumet,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.06.05.2044,,,,,,30 Cot Seunong,,
11.06.05.2045,,,,,,31 Mon Ara,,
11.06.05.2046,,,,,,32 Cot Lhok,,
11.06.05.2047,,,,,,33 Cot Lampoh Soh,,
11.06.05.2048,,,,,,34 Bueng Raya,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.06.05.2049,,,,,,35 Piyeung Lhang,,
,,,,,,,,
