K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53.15.06,,,,6Boleng,-,11,,Perda No. 36/2006
53.15.06.2001,,,,,,1 Mbuit,,Semula wil. Kec. Komodo
53.15.06.2002,,,,,,2 Golo Ketak,,Semula wil. Kec. Komodo
53.15.06.2003,,,,,,3 Pota Wangka,,Semula wil. Kec. Komodo
53.15.06.2004,,,,,,4 Tanjung Boleng,,Semula wil. Kec. Komodo
53.15.06.2005,,,,,,5 Golo Sepang,,Semula wil. Kec. Komodo
53.15.06.2006,,,,,,6 Pontianak,,Semula wil. Kec. Komodo
53.15.06.2007,,,,,,7 Sepang,,Semula wil. Kec. Komodo
53.15.06.2008,,,,,,8 Golo Lujang,,Semula wil. Kec. Komodo
53.15.06.2009,,,,,,9 Batu Tiga,,Semula wil. Kec. Komodo
53.15.06.2020,,,,,,10 Golo Nobo,,Pemekaran Desa Pota Wangka Perda No. 10/2011
53.15.06.2021,,,,,,11 Beo Sepang,,Pemekaran Desa Sepang Perda No. 10/2011
53.15.07,,,,7Welak,-,16,,Perda No. 37/2006
53.15.07.2001,,,,,,1 Golo Ronggot,,Semula wil. Kec. Lembor
53.15.07.2002,,,,,,2 Semang,,Semula wil. Kec. Lembor
53.15.07.2003,,,,,,3 Dunta,,Semula wil. Kec. Lembor
53.15.07.2004,,,,,,4 Gurung,,Semula wil. Kec. Lembor
53.15.07.2005,,,,,,5 Orong,,Semula wil. Kec. Lembor
53.15.07.2006,,,,,,6 Pong Welak,,Semula wil. Kec. Lembor
53.15.07.2007,,,,,,7 Galang,,Semula wil. Kec. Lembor
53.15.07.2008,,,,,,8 Rehak,,Semula wil. Kec. Lembor
53.15.07.2009,,,,,,9 Watu Umpu,,Semula wil. Kec. Lembor
53.15.07.2010,,,,,,10 Pengka,,Semula wil. Kec. Lembor
53.15.07.2011,,,,,,11 Lale,,Semula wil. Kec. Lembor
53.15.07.2015,,,,,,12 Racang Welak,,Pemekaran Desa Pong Welak Perda No. 10/2011
53.15.07.2016,,,,,,13 Sewar,,Pemekaran Desa Pengka Perda No. 10/2011
53.15.07.2017,,,,,,14 Robo,,Pemekaran Desa Orong Perda No. 10/2011
53.15.07.2018,,,,,,15 Wewa,,Pemekaran Desa Gurung Perda No. 10/2011
53.15.07.2019,,,,,,16 Golo Ndari,,Pemekaran Desa Watu Umpu Perda No. 10/2011
53.15.08,,,,8Ndoso,-,15,,Pemekaran Kec. Perda No. 5/2011
53.15.08.2001,,,,,,1 Golo Poleng,,Semula wil. Kec. Kuwus Perda no. 5/2011
53.15.08.2002,,,,,,2 Tentang,,Semula wil. Kec. Kuwus Perda no. 5/2011
53.15.08.2003,,,,,,3 Raka,,Semula wil. Kec. Kuwus Perda no. 5/2011
53.15.08.2004,,,,,,4 Kasong,,Semula wil. Kec. Kuwus Perda No. 5/2011
53.15.08.2005,,,,,,5 Ndoso,,Semula wil. Kec. Kuwus Perda No. 5/2011
53.15.08.2006,,,,,,6 Waning,,Semula wil. Kec. Kuwus Perda No. 5/2011
53.15.08.2007,,,,,,7 Wae Buka,,Semula wil. Kec. Kuwus Perda no. 5/2011
53.15.08.2008,,,,,,8 Momol,,Semula wil. Kec. Kuwus Perda No. 5/2011
53.15.08.2009,,,,,,9 Lumut,,Semula wil. Kec. Kuwus Perda No. 5/2011
53.15.08.2010,,,,,,10 Pong Narang,,Semula wil. Kec. Kuwus Perda No. 5/2011
