K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.10.02.2023,,,,,,23 Lipat Kajang Atas,,
11.10.02.2024,,,,,,24 Sidodadi,,
11.10.02.2025,,,,,,25 Pandan Sari,,
,,,,Simpang Kiri,,,,"Menjadi wil. Kota Subulussalam, UU No. 8 / 2007"
,,,,,,Subulusalam,,
,,,,,,Pegayo,,
,,,,,,Skalondang,,
,,,,,,Panggabesi,,
,,,,,,Kuta Cepu,,
,,,,,,Pasir panjang,,
,,,,,,Mukti Makmur,,
,,,,,,Lae Oram,,
,,,,,,Buluh Dori,,
,,,,,,Sibulusalam Utara,,
,,,,,,SIbulusalam Selatan,,
,,,,,,Sibulusalam Barat,,
,,,,,,Makmur Jaya,,
,,,,,,Suka Makmur,,
11.10.04,,,,3Singkil,-,16,,
11.10.04.2001,,,,,,1 Pasar,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.10.04.2002,,,,,,2 Ujung,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.10.04.2003,,,,,,3 Pulo Sarok,,
11.10.04.2004,,,,,,4 Kilangan,,
11.10.04.2005,,,,,,5 Kuta Simboling,,
,,,,,,Kayu Menang,,"Menjadi wil. Kec. Kuala Baru, Qanun No. 3/2004"
11.10.04.2007,,,,,,6 Teluk Ambun,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.10.04.2008,,,,,,7 Rantau Gedang,,
11.10.04.2009,,,,,,8 Teluk Rumbia,,
11.10.04.2010,,,,,,9 Pea Bumbung,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.10.04.2011,,,,,,10 Pemuka,,
11.10.04.2012,,,,,,11 Takal pasir,,
,,,,,,"Kp. Kuala Baru
Sungai",,"Menjadi wil. Kec. Kuala Baru, Qanun No. 3/2004"
11.10.04.2014,,,,,,12 Selok Aceh,,
,,,,,,,,
