K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
62,KALIMANTAN TENGAH,,,,,,,
62.03,KAB. KAPUAS,,,17,17,214,"17.033,646","Luas Wilayah Indikatif PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
62.03.01,,,,1Selat,8,2,,
,,,,,,Terusan Raya,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Handel Jangkit,,"Non Aktif sesuai Surat Bupati No. 130/2026/Adminpem/2012 tanggal
22 November 2012"
,,,,,Pulaukupang,,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Sei Lunuk,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Pulaumambulau,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
62.03.01.1006,,,,,1Murung Keramat,,,
62.03.01.1007,,,,,2Selat Hilir,,,
62.03.01.1008,,,,,3Selat Tengah,,,
62.03.01.1009,,,,,4Selat Hulu,,,
62.03.01.1010,,,,,5Selat Dalam,,,
62.03.01.2011,,,,,,1 Pulau Telo,,"Perbaikan nama sesuai hasil Rakernis Ditjen Bina Pemdes tentang
Klarifikasi Data Nama dan Kodefikasi Desa tgl 1 April 2016"
,,,,,,Tamban Luar,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Terusan Karya,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Terusan Makmur,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Terusan Mulya,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Bangun Harjo,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Terusan Raya Hulu,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,Terusan Raya Barat,,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
,,,,,,"Terusan Baguntan
Raya",,"Menjadi wil Kec. Bataguh, Perda No. 8/2012"
62.03.01.2020,,,,,,2 Pulau Telo Baru,,"Pemekaran sebagian Desa Pulau Telo, Perda No. 6/2012, Perbaikan
nama sesuai hasil Rakernis Ditjen Bina Pemdes tentang Klarifikasi Data
Nama dan Kodefikasi Desa tgl 1 April 2016"
62.03.01.1021,,,,,6Selat Utara,,,"Pemekaran sebagian Kel. Selat Hulu dan Kel. Selat Dalam, Perda No.
7/2012"
62.03.01.1022,,,,,7Selat Barat,,,"Pemekaran sebagian Kel. Selat Hilir dan Kel. Selat Tengah, Perda No.
7/2012"
62.03.01.1023,,,,,8Panamas,,,"Pemekaran sebagian Kel. Murung Keramat, Perda No. 7/2012"
62.03.02,,,,2Kapuas Hilir,5,3,,
62.03.02.1001,,,,,1Mambulau,,,
62.03.02.1002,,,,,2Hampatung,,,
62.03.02.1003,,,,,3Dahirang,,,
62.03.02.1004,,,,,4Barimba,,,
62.03.02.1005,,,,,5Sei Pasah,,,
,,,,,,,,
