K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32.02.34.2003,,,,,,3 Bojongsawah,,
32.02.34.2004,,,,,,4 Sasagaran,,
32.02.34.2005,,,,,,5 Jambenenggang,,
32.02.35,,,,35Cireunghas,-,5,,
32.02.35.2001,,,,,,1 Cireunghas,,
32.02.35.2002,,,,,,2 Cipurut,,
32.02.35.2003,,,,,,3 Bencoy,,
32.02.35.2004,,,,,,4 Cikurutug,,
32.02.35.2005,,,,,,5 Tegalpanjang,,
32.02.36,,,,36Sukalarang,-,6,,
32.02.36.2001,,,,,,1 Sukalarang,,
32.02.36.2002,,,,,,2 Sukamaju,,
32.02.36.2003,,,,,,3 Cimangkok,,
32.02.36.2004,,,,,,4 Titisan,,
32.02.36.2005,,,,,,5 Semplak,,
32.02.36.2006,,,,,,6 Prianganjaya,,
32.02.37,,,,37Pabuaran,-,7,,
32.02.37.2001,,,,,,1 Pabuaran,,
32.02.37.2002,,,,,,2 Ciwalat,,
32.02.37.2003,,,,,,3 Sirnasari,,
32.02.37.2004,,,,,,4 Bantarsari,,
32.02.37.2005,,,,,,5 Sukajaya,,
32.02.37.2006,,,,,,6 Cibadak,,
32.02.37.2007,,,,,,7 Lembur Sawah,,Pemekaran dari sebagian wil. Desa Pabuaran Perda No. 6/2006
32.02.38,,,,38Purabaya,-,7,,
32.02.38.2001,,,,,,1 Purabaya,,
32.02.38.2002,,,,,,2 Neglasari,,
32.02.38.2003,,,,,,3 Pagelaran,,
32.02.38.2004,,,,,,4 Cimerang,,
32.02.38.2005,,,,,,5 Citamiang,,
32.02.38.2006,,,,,,6 Margaluyu,,
32.02.38.2007,,,,,,7 Cicukang,,
32.02.39,,,,39Nyalindung,-,10,,
32.02.39.2001,,,,,,1 Nyalindung,,
32.02.39.2002,,,,,,2 Neglasari,,
32.02.39.2003,,,,,,3 Sukamaju,,
32.02.39.2004,,,,,,4 Bojongkalong,,
32.02.39.2005,,,,,,5 Cijangkar,,
32.02.39.2006,,,,,,6 Mekarsari,,
32.02.39.2007,,,,,,7 Wangunreja,,
