NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XVIII,52,NUSA TENGGARA BARAT,,8,2,117,145,1021,19.676,5.473.507,
,52.01,1 KAB. LOMBOK BARAT,Mataram,,,10,3,119,923,726.228,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,52.01.01,1 Gerung,,,,,3,11,,,
,52.01.02,2 Kediri,,,,,,10,,,
,52.01.03,3 Narmada,,,,,,21,,,
,52.01.07,4 Sekotong,,,,,,9,,,
,52.01.08,5 Labuapi,,,,,,12,,,
,52.01.09,6 Gunungsari,,,,,,16,,,
,52.01.12,7 Lingsar,,,,,,15,,,
,52.01.13,8 Lembar,,,,,,10,,,
,52.01.14,9 Batu Layar,,,,,,9,,,
,52.01.15,10 Kuripan,,,,,,6,,,
,52.02,2 KAB. LOMBOK TENGAH,Praya,,,12,12,142,1.170,1.066.915,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,52.02.01,1 Praya,,,,,9,6,,,
,52.02.02,2 Jonggat,,,,,,13,,,
,52.02.03,3 Batukliang,,,,,,11,,,
,52.02.04,4 Pujut,,,,,,18,,,
,52.02.05,5 Praya Barat,,,,,,10,,,
,52.02.06,6 Praya Timur,,,,,,14,,,
,52.02.07,7 Janapria,,,,,,16,,,
,52.02.08,8 Pringgarata,,,,,,11,,,
,52.02.09,9 Kopang,,,,,,13,,,
,52.02.10,10 Praya Tengah,,,,,3,10,,,
,52.02.11,11 Praya Barat Daya,,,,,,12,,,
,52.02.12,12 Batukliang Utara,,,,,,8,,,
,52.03,3 KAB. LOMBOK TIMUR,Selong,,,21,15,239,1.606,1.369.917,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,52.03.01,1 Keruak,,,,,,15,,,
,52.03.02,2 Sakra,,,,,,12,,,
,52.03.03,3 Terara,,,,,,16,,,
,52.03.04,4 Sikur,,,,,,14,,,
